Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
reviews_per_program,1957.0153846153846,1957.0153846153846,790.123076923077,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,719.0,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,811.8307692307692,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,691.7730769230769,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,704.9384615384615,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,683.5,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,704.2692307692307,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,748.0384615384615,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,716.6846153846154,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,827.7846153846153,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
