Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
reviews_per_program,1262.6312292358805,96.56810631229236,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,100.39202657807309,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,71.63787375415282,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,84.86378737541528,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,87.63787375415282,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,108.44518272425249,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,75.70764119601328,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,112.55813953488372,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,91.80730897009967,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,101.0797342192691,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
