Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.91218130311614,91.70254957507082,83.11189801699717,67.02549575070822,50.84844192634561,42.85552407932011,38.063739376770535,37.29886685552408,37.876770538243626,39.98725212464589,42.361189801699716,45.51841359773371,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.92492917847025,91.3172804532578,82.10339943342777,64.3300283286119,51.787535410764875,43.20821529745042,38.71529745042493,37.021246458923514,37.36827195467422,39.29178470254958,42.287535410764875,45.539660056657226,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.91784702549575,91.83994334277621,81.84277620396601,67.43201133144476,53.124645892351275,42.21671388101983,38.32436260623229,37.198300283286116,37.45467422096317,39.596317280453256,42.30028328611898,45.390934844192635,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.89518413597733,91.76770538243626,82.63456090651557,67.74929178470255,51.42776203966006,42.685552407932015,37.801699716713884,37.03541076487252,37.95184135977337,39.406515580736546,42.44334277620396,45.47025495750708,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,91.29320113314448,82.64305949008498,66.14730878186968,52.3342776203966,43.55665722379604,38.813031161473084,36.88526912181303,36.861189801699716,39.830028328611895,42.419263456090654,45.463172804532576,48.67988668555241,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.79320113314448,90.65297450424929,82.38385269121812,65.77195467422096,51.28186968838527,43.15155807365439,37.6671388101983,36.3328611898017,38.389518413597735,39.81019830028329,42.41076487252125,45.45750708215297,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,91.68696883852691,81.47450424929178,65.59773371104816,52.23087818696884,42.91359773371105,38.69263456090651,36.844192634560905,37.78045325779037,39.50991501416431,42.36827195467422,45.54390934844193,48.69971671388102,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.91218130311614,90.88101983002832,82.54815864022663,65.92917847025495,50.95750708215297,44.038243626062325,37.54957507082153,37.47308781869688,37.60481586402266,39.62747875354108,42.24787535410765,45.447592067988666,48.74929178470255,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,92.02124645892351,81.13881019830028,66.09631728045326,51.6643059490085,43.3371104815864,37.43767705382436,37.327195467422094,37.73087818696884,39.460339943342774,42.65155807365439,45.390934844192635,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.88810198300283,90.3300283286119,82.5042492917847,65.40509915014164,50.39943342776204,43.08356940509915,37.86543909348442,36.70396600566572,38.31728045325779,39.60623229461756,42.37252124645892,45.390934844192635,48.70113314447592,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.91926345609065,91.53541076487252,82.21246458923513,66.70538243626062,52.69121813031161,43.18980169971671,38.36685552407932,37.13031161473088,37.123229461756374,39.63314447592068,42.44334277620396,45.390934844192635,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,91.18555240793201,81.38526912181302,65.75920679886686,52.80736543909349,43.67847025495751,38.07082152974504,37.63739376770538,37.92634560906516,39.51983002832861,42.6643059490085,45.53541076487252,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.79320113314448,92.3342776203966,81.84135977337111,65.84985835694052,51.09206798866855,42.04249291784703,38.8356940509915,36.58923512747875,37.37252124645892,39.81728045325779,42.28470254957507,45.51983002832861,48.696883852691215,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9974879860200961,0.980428134556575,0.9429153924566769,0.8823566123697185,0.8058650065530799,0.7400611620795107,0.6776321537789428,0.6215099884824655,0.571647007426824,0.5282118493127668,0.49054484178992697,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,0.999854376001165,0.9963958060288336,0.9797291393621669,0.9400757244793942,0.8768645072707982,0.8112166885102665,0.7425853113926508,0.6773263433813893,0.6205170975813178,0.571647007426824,0.5282790603891522,0.49029520064906695,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9977064220183486,0.9806902577544779,0.9405854084753167,0.8799226112463334,0.8103429445172564,0.7415174020678608,0.6801660113586719,0.6213908415743278,0.5714285714285714,0.5279766105454179,0.490482431504712,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.997051114023591,0.981826124945391,0.9458278724333771,0.8780503026898833,0.8086500655307994,0.7394786660841707,0.6789864569681083,0.6207156757615473,0.5708096694335226,0.5279766105454179,0.49051363664731945,0.4577544779379642,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9979248580166011,0.982175622542595,0.9432794524537644,0.8784871746863883,0.8084862385321101,0.7434590553856609,0.6784622105723023,0.6215497041185114,0.5715377894276977,0.5282118493127668,0.49051363664731945,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,0.999563128003495,0.9965050240279598,0.9797291393621669,0.9406582204747342,0.8811084066654185,0.8142747924858017,0.745886122032911,0.6788117081695063,0.622185154295246,0.5718290374253677,0.5282118493127668,0.49054484178992697,0.45784185233726515,0.42919943206640454,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,0.999854376001165,0.9968326780253386,0.9817387505460899,0.9461919324304645,0.8766772764151533,0.8096876365224989,0.7408863647395757,0.6785058977719528,0.6210731164859605,0.5703363914373089,0.5279766105454179,0.49054484178992697,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9979248580166011,0.982874617737003,0.935270132517839,0.8787368158272484,0.8121996505024028,0.7417115673996408,0.6793796417649629,0.6202788037650423,0.5707368574341052,0.5278421883926471,0.4904512263621045,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,0.99970875200233,0.9962865880297073,0.9839231105286151,0.9385466724916266,0.8844785620670287,0.8116535605067715,0.7422455220620359,0.6781564001747488,0.6221454386592001,0.5719018494247852,0.528077427159996,0.49042002121949696,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9973787680209698,0.982699868938401,0.9408038444735692,0.8802970729576234,0.811817387505461,0.7414203194019707,0.6780253385757973,0.6205568132173637,0.5714649774282802,0.5281446382363814,0.49054484178992697,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
pct_interview_given_signal,0.0,1.0,1.0,0.999854376001165,0.9980340760157274,0.9837483617300131,0.9469200524246396,0.8791112775385383,0.8099606815203145,0.7389932527547206,0.6763215377894277,0.62127169466619,0.571792631425659,0.5279093994690325,0.490482431504712,0.45784185233726515,0.4292267365661861,0.40397810500346926,0.381534876947721,0.3614540939504725,0.34338138925294887,0.32702989452661796,0.3121648993208626,0.2985925123938686,0.28615115771079075,0.2747051114023591,0.2641395301945761,0.254356584631814,0.24527242089496348
