Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,913.850622406639,777.5477178423237,510.48547717842325,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,914.0539419087137,785.8630705394191,498.9668049792531,477.0207468879668,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,909.4854771784233,781.3153526970955,514.5643153526971,478.8091286307054,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,766.9211618257261,512.701244813278,476.9336099585062,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,776.8340248962655,504.23236514522824,475.07053941908714,510.6804979253112,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,909.792531120332,768.8008298755186,514.4647302904565,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,911.6970954356847,790.8257261410788,506.66390041493776,476.850622406639,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,907.4771784232365,802.9045643153527,496.3526970954357,477.00414937759336,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,911.701244813278,786.9211618257261,496.35684647302907,476.94190871369295,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,781.49377593361,506.75103734439836,478.8755186721992,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
