Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.15963302752294,160.78532110091743,158.32110091743118,151.95596330275228,140.5889908256881,129.0256880733945,115.05504587155963,105.96146788990826,98.80366972477064,98.43853211009174,98.04954128440367,101.12110091743119,104.4,107.68440366972477,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.32110091743118,161.00550458715597,158.17798165137614,152.37064220183487,143.8330275229358,132.07155963302753,117.29357798165138,106.31192660550458,99.148623853211,98.63853211009175,98.75412844036697,100.84587155963303,104.06238532110092,107.8,111.63302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.35045871559632,160.00183486238532,157.85871559633028,152.71743119266054,141.95045871559634,129.91743119266056,118.37798165137615,107.17798165137614,99.93394495412844,98.53577981651377,98.72293577981651,100.74678899082569,104.28990825688074,107.80183486238532,111.62752293577982,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.32477064220183,160.4954128440367,159.5284403669725,152.19633027522937,142.4788990825688,128.89541284403668,115.93211009174311,106.5394495412844,101.18165137614679,97.07522935779816,98.64954128440367,100.87889908256881,104.27889908256881,107.68440366972477,111.60183486238532,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.148623853211,159.74128440366974,158.37431192660551,151.61834862385322,144.0,131.22018348623854,117.27339449541284,106.89724770642202,100.01284403669725,98.40183486238531,98.4,100.91192660550459,103.83853211009175,107.9045871559633,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,160.6348623853211,158.0605504587156,151.0348623853211,143.76146788990826,131.15963302752294,116.04036697247706,107.99266055045871,101.0605504587156,98.22385321100917,98.50091743119266,100.6954128440367,104.31926605504587,107.79816513761467,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.17798165137614,160.25871559633026,156.21467889908257,152.8440366972477,141.43669724770643,128.4091743119266,118.04036697247706,105.86422018348624,101.0697247706422,98.2256880733945,98.2165137614679,100.54311926605504,104.11926605504587,107.68440366972477,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.15412844036697,160.97064220183486,157.48440366972477,152.3577981651376,142.11559633027522,129.90275229357798,116.76697247706421,107.07339449541284,100.62201834862385,96.46605504587156,98.61467889908256,100.56880733944953,104.39633027522936,107.7743119266055,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.31926605504586,160.8091743119266,157.72477064220183,150.6880733944954,143.75779816513761,131.36880733944955,117.55963302752293,107.6697247706422,98.66605504587156,97.38532110091744,97.95779816513762,100.98348623853211,103.83853211009175,107.68440366972477,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.1211009174312,160.97981651376148,157.36330275229358,150.6770642201835,142.17614678899082,131.954128440367,117.38165137614679,105.50642201834863,100.41284403669725,97.66788990825688,98.74311926605505,100.73211009174312,103.93394495412844,107.79633027522935,111.6256880733945,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
