Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,327.0356564019449,276.8492706645057,244.3322528363047,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,332.9319286871961,327.12965964343596,275.82820097244735,244.25607779578607,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,325.4376012965964,277.2009724473258,243.41815235008104,261.9141004862237,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,326.29497568881686,274.09238249594813,243.49432739059966,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,332.9416531604538,327.3517017828201,275.7617504051864,245.23014586709886,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,326.5640194489465,274.128038897893,242.93517017828202,262.0421393841167,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,327.9513776337115,276.581847649919,244.94327390599676,262.0129659643436,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,326.69854132901133,275.40194489465154,244.387358184765,261.9270664505673,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,327.22690437601295,276.70178282009726,244.11021069692057,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,329.23338735818476,274.9157212317666,245.82171799027552,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,328.58508914100486,276.94651539708263,243.85413290113453,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,332.9513776337115,325.91734197730955,278.65964343598057,246.12965964343599,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,328.34035656401943,273.5964343598055,244.0551053484603,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,327.77471636953,276.37925445705025,244.95623987034037,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,327.8735818476499,273.6158833063209,244.0810372771475,262.04376012965963,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,326.73095623987035,277.06320907617504,243.38897893030793,261.807131280389,285.60777957860614,309.40842787682334
reviews_per_program,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,333.20907617504054,332.9270664505673,328.74716369529983,276.1102106969206,244.52188006482982,261.807131280389,285.60777957860614,309.40842787682334
