Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999811569625023,0.9994175788409819,0.9887255825639093,0.958153962111,0.9035371073245578,0.8458262671942717,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999246278500095,0.9993147986364493,0.990672696438666,0.9582844139090606,0.903712078387036,0.8461403178192325,0.7933154324477105,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999246278500095,0.9991777583637391,0.9891024433138622,0.9573277673899494,0.9036986190745376,0.8460021355442497,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989550679205852,0.9899503800012562,0.9573132727457204,0.9043850440119519,0.846215689969223,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999486098977337,0.9905627787199297,0.9559652708324274,0.9033352176370831,0.8460775076942403,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989893279887627,0.9883644243452044,0.9575451870533838,0.903967805324504,0.8460775076942403,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991434982955616,0.990280133157465,0.957139337014973,0.9040081832619989,0.8461403178192325,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989379378864964,0.9892437660950946,0.9583858764186634,0.903712078387036,0.846127755794234,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993490587046269,0.9879404560015075,0.9580090156687104,0.9041427763869821,0.8460649456692418,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.1312055195605224,0.067567991960304,0.022611644997173545,0.005144149236856982,0.0006699746665829199,0.0,0.0,0.0,0.0,0.0,0.0
