Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
pct_interview_given_nosignal,0.20896343139950507,0.171242185376461,0.148720999405116,0.11653543307086614,0.07200478040035853,0.04110468850353243,0.017132867132867134,0.0021937842778793418,0.0015600624024961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1958258180881216,0.1765695067264574,0.1430615164520744,0.11071214841412327,0.07347560975609756,0.038578371810449576,0.015389762462361994,0.0025983667409057165,0.0007665772326561902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1984852441890833,0.17250821467688937,0.14547570555717196,0.10815551008477053,0.07697201017811704,0.042483660130718956,0.011560693641618497,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.21378340365682139,0.1763717805151176,0.14679976512037582,0.11256464861575904,0.0753125,0.03860759493670886,0.014785430941218897,0.005767844268204758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20988677161005248,0.18772348033373062,0.14775413711583923,0.1072774717309365,0.0770440251572327,0.040634920634920635,0.014018691588785047,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.21264689423614996,0.17776523702031602,0.14590020426028597,0.11229135053110774,0.07561202355128602,0.04701567189063021,0.017434210526315788,0.001876172607879925,0.00038476337052712584,0.0020635575732562937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.20089875759978854,0.20391735980681513,0.1986408782017773,0.21505376344086022,0.21511463345598641,0.2096551724137931,0.20358960621484062,0.20540540540540542,0.21695689409077934,0.20137784843667197,0.20573903627504062,0.19978969505783387,0.20452099031216361,0.19905709795704557,0.20304568527918782,0.20907840440165062,0.21070141391738287,0.20089875759978854
pct_interview_given_application,0.20169851380042464,0.2060178910273787,0.2094240837696335,0.20320855614973263,0.1953727506426735,0.20568335588633288,0.21158129175946547,0.2081621473568885,0.2065778744223974,0.20607375271149675,0.21070141391738287,0.20821917808219179,0.20669023660592875,0.20413644910018802,0.2182653647329121,0.20663404023926046,0.19905709795704557,0.21052631578947367
pct_interview_given_application,0.2109353316680544,0.20770702377698824,0.20239680426098536,0.21677124928693667,0.2062415196743555,0.2096551724137931,0.20320855614973263,0.20468623754376514,0.20315423683507083,0.20680272108843537,0.21511463345598641,0.20084566596194503,0.192453785768549,0.20529443544030254,0.1994750656167979,0.20331728196896737,0.20364415862808147,0.2025586353944563
pct_interview_given_application,0.19807140995569456,0.20748020748020748,0.20669023660592875,0.19984222981856428,0.20782061799289034,0.20169851380042464,0.20821917808219179,0.20468623754376514,0.21541950113378686,0.20315423683507083,0.20391735980681513,0.1939270221995407,0.2060178910273787,0.20765027322404372,0.21211275467485347,0.20714091032979012,0.21081830790568654,0.2011646373742721
pct_interview_given_application,0.20896343139950507,0.19952743502231557,0.2098288238542242,0.2131837307152875,0.1965347814843548,0.20191285866099895,0.2087912087912088,0.2085048010973937,0.21087680355160932,0.20902090209020902,0.19367991845056065,0.21288515406162464,0.20021074815595363,0.2085048010973937,0.20369874028410614,0.20913593835993396,0.2057947468183049,0.20364415862808147
pct_interview_given_application,0.1958258180881216,0.2055164954029205,0.20239680426098536,0.20364415862808147,0.2,0.19279553526128868,0.20164499867338817,0.21087680355160932,0.20827624006577145,0.21023513139695713,0.211287183764248,0.20714091032979012,0.205017534394389,0.20827624006577145,0.20196651607759766,0.20159151193633953,0.21116976938038343,0.20890599230346343
pct_interview_given_application,0.1984852441890833,0.20095187731359068,0.20557208547470923,0.19942272369456834,0.2074235807860262,0.20485175202156333,0.2042461703843053,0.20907840440165062,0.198226395409494,0.20640956002172733,0.20234291799787008,0.2144469525959368,0.20948180815876516,0.20212765957446807,0.21158129175946547,0.20408163265306123,0.20635351615530817,0.20691532806969778
pct_interview_given_application,0.21378340365682139,0.20529443544030254,0.2073104200763775,0.20669023660592875,0.20430107526881722,0.1994750656167979,0.21390374331550802,0.20629750271444083,0.20913593835993396,0.2028289298105151,0.21152240467575842,0.20207391651156606,0.20496224379719524,0.21426557654355793,0.20948180815876516,0.2085048010973937,0.20397208803005903,0.2034805890227577
pct_interview_given_application,0.20988677161005248,0.21801491681009752,0.20856201975850713,0.197968220890857,0.20540540540540542,0.2,0.2133632790567097,0.2014312218393851,0.19973718791064388,0.21264689423614996,0.2028289298105151,0.21282553906468776,0.2075935536738596,0.2104680144004431,0.21384355655599324,0.21330339601459444,0.20725388601036268,0.20708446866485014
