Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999708122938619,0.9936201087500417,0.9438937872241037,0.8512539917439053,0.7673990425923652,0.6981797297512883,0.6408770739469792,0.5924408425536524,0.5512741380830615,0.5158415841584159,0.4857736963229907
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939285773856187,0.9420192539285167,0.8513746819668726,0.7674394136008137,0.6981797297512883,0.64070506251281,0.592357981077679,0.5520529801324503,0.5160078290192502,0.48534810044693194
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999708128617989,0.9935198698970018,0.9423288881103058,0.8512180560422589,0.7673138288546282,0.6981648790500551,0.6407676014407169,0.592531749541922,0.5512116479419618,0.516105192814183,0.48529786832951993
pct_interview_given_nosignal,0.2601541601442527,0.23416007909191974,0.20523678482817262,0.17640591088630175,0.14323333835361984,0.10857989855058671,0.07103949047125428,0.031424424804540184,0.005675131913601336,0.00017110005931468723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25859644285123395,0.23398346389233904,0.20658350525560532,0.17591652777380243,0.14425545313099694,0.10864193416304027,0.07081657545578529,0.0315676666330152,0.005655911638282823,0.00022407724141060878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2594006354023424,0.23319722110440877,0.20548235304083387,0.1748734941868609,0.1433913816223823,0.10819069745389029,0.07081750701323204,0.0314220195385661,0.006307055746760838,0.00024447236609452554,2.3985560692463136e-05,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25954627045064566,0.23365541858461236,0.20637874743435675,0.17499030861317896,0.14440446501697848,0.10887883689526999,0.07111935683364255,0.03189190323325151,0.005129135111433506,0.00025787005068579106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2601412734423761,0.23544175878567894,0.20566310082218608,0.17521211018106939,0.1432673389360857,0.10891131640053553,0.0706071142016582,0.03161529387562724,0.006331053069679543,0.0003358417104019855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25946779182023894,0.23343755048124604,0.2047953734777011,0.1754768571899193,0.14364208478745924,0.1085241270415006,0.07052420651609233,0.03134223544380554,0.005889403150980163,0.00026465189738336106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2592536278960474,0.23411638041527813,0.20533667978016723,0.17578377664840605,0.1445071933584892,0.10899116836469065,0.0707323305621919,0.03130519583254444,0.005733052221861823,0.0002944362974206809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25951087225080594,0.23345569063711005,0.20683627681911684,0.17602659599077336,0.14286819835117062,0.10882405541711875,0.07078573858036262,0.0313980384302273,0.005351397580875066,0.0004018834367019336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25943446558776456,0.2346423256846415,0.20532755490284874,0.17575168329986163,0.14397122777400592,0.10886481174023396,0.07056505509955543,0.03155369519974369,0.006040614649508606,0.00034123625018638953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25890955558710776,0.23377838756578542,0.2065549202348463,0.17640513193017007,0.1436746353656415,0.10798002096331892,0.07120966513224117,0.03140693462224666,0.005905013334770076,0.00034358211328555367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.2601541601442527,0.260156737637839,0.25894172568649376,0.2603347081218274,0.2590883795826706,0.2594893302474687,0.2604503904018282,0.2603032231586836,0.2595729537366548,0.2601113812102157,0.26008407190088867,0.2597496122313317,0.25789799345885267,0.2600758287079406,0.2595832179999209,0.2611918474530751,0.25982054864461585
pct_interview_given_application,0.25859644285123395,0.2599671704621282,0.2605253288514161,0.25968590529688673,0.26068568682851473,0.25961247560423395,0.2598133504310038,0.25935759156098137,0.26019901582098487,0.25913900605352447,0.25959656275580617,0.26019901582098487,0.2603481302573499,0.25854246419963134,0.25944625696822626,0.26058375906541387,0.2595457573642936
pct_interview_given_application,0.2594006354023424,0.2591231511926707,0.25923059304832685,0.2583018715730618,0.2593355627411049,0.2587161929159072,0.2596807690025515,0.2597835335087754,0.2600655254515274,0.2595478097218735,0.26017014142783257,0.2610085523778473,0.26043592449476716,0.25806527699973464,0.2604674415698038,0.2600160811822442,0.25992856973162176
pct_interview_given_application,0.25954627045064566,0.25961504237539496,0.2602846454421639,0.25845695927430784,0.26091829758819696,0.26008252626240813,0.2606028967786884,0.2619589659073451,0.25923468783319514,0.2609794980460131,0.25904492819105385,0.25921523875711255,0.2603920199758433,0.2599332012140194,0.2602222231031161,0.25952574857874805,0.2603316109024718
pct_interview_given_application,0.2601412734423761,0.26153211782211944,0.25944318085259843,0.25875137463884934,0.2591415634708532,0.2601469434339111,0.25916509407891103,0.2605418728009859,0.25957551972637133,0.2597547512493916,0.2592290575373516,0.25909604898851657,0.2599980593021805,0.2601825153830148,0.2604307584888145,0.25967306494200015,0.25962171621795316
pct_interview_given_application,0.25946779182023894,0.25938116141880063,0.258422366214482,0.2591026961742034,0.2597275167705574,0.2593785992702186,0.25895142934909093,0.2595688482586278,0.2600093870494365,0.2597424179476527,0.2608731935963948,0.2590832668976786,0.261296851708484,0.25904339487879663,0.2608089343925245,0.25956166398456376,0.26064066321506846
pct_interview_given_application,0.2592536278960474,0.26010983524712933,0.259059239980821,0.2595098463600192,0.2610786206731983,0.2603052875131102,0.2595401135483055,0.2597434456780647,0.2589769687788482,0.2605558333928699,0.25912673115295726,0.2598452312624933,0.2605211931923033,0.26164052426948425,0.2606287630198253,0.2594083233060869,0.26031715818651185
pct_interview_given_application,0.25951087225080594,0.2594006354023424,0.26082240547343244,0.2598318609290396,0.25851701039250513,0.2599738624212902,0.2596879598715129,0.2590387950509329,0.25981797780825333,0.26002741049996436,0.2597110760764424,0.26009128512337754,0.2607623144711049,0.25992754053572487,0.25930073410476545,0.2606375587115422,0.25984883120275976
pct_interview_given_application,0.25943446558776456,0.26067430007763126,0.25904850599024515,0.259467279044122,0.2602418235877106,0.260054707910859,0.2590709972769249,0.2605915172590374,0.25980358206474313,0.2611196410529749,0.2603760114231318,0.26023047557886475,0.259520105632898,0.25975372342951203,0.2608130791922844,0.25960118241406244,0.2599090164031785
pct_interview_given_application,0.25890955558710776,0.2597470427985542,0.26049173042125645,0.2603336757071871,0.25977839335180053,0.25829729804169993,0.26093904029001175,0.2588523840317976,0.25834151563031893,0.25933197700831573,0.2609286685268656,0.2604958651449977,0.26123498255011124,0.25991982182628065,0.2600583136577559,0.25941959972258394,0.2586866272734975
pct_of_app_match_via_signal_given_matched,0.0,0.9972567666422824,0.99963440270542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9981720135270999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9987191216834401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9965252377468911,0.99981720135271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9966169882051751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.997164547699625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9964308593392514,0.999360204734485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9949707388441843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9980793854033291,0.9993600292558055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9962509144111192,0.9990859232175503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
