Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
reviews_per_program,414.4727272727273,408.05454545454546,416.1636363636364,411.03636363636366,230.5090909090909,102.74545454545455,85.30909090909091,99.52727272727273,113.7090909090909,127.83636363636364,141.92727272727274,155.9090909090909,170.1090909090909,184.12727272727273,197.45454545454547,211.34545454545454,223.65454545454546
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9296675191815856,0.7953964194373402,0.6649616368286445,0.5701754385964912,0.49872122762148335,0.44387537345283823,0.3990790483499616,0.3630862329803328,0.33393984801455634,0.3090945115910442,0.28779632875196015,0.2691511387163561,0.2520397447289765
pct_interview_given_signal,0.0,1.0,1.0,0.9991474850809889,0.9229539641943734,0.7979539641943734,0.6651033894691963,0.5701754385964912,0.498960498960499,0.44337075458291886,0.39984621299500195,0.363890832750175,0.3330842318778691,0.3087885985748218,0.28700211572072487,0.2685256906790602,0.2530003243593902
pct_interview_given_signal,0.0,1.0,1.0,0.9974424552429667,0.928388746803069,0.7951406649616368,0.6649616368286445,0.5703839122486288,0.4988807163415414,0.44349680170575695,0.3994878361075544,0.363382250174703,0.33315536572343835,0.30820902894398894,0.28663298116674324,0.26804123711340205,0.252243512005821
pct_interview_given_signal,0.0,1.0,1.0,0.9978687127024722,0.9290281329923273,0.7902813299232737,0.6649616368286445,0.5699671172816952,0.4988807163415414,0.44349680170575695,0.39938556067588327,0.3640182009100455,0.33386837881219905,0.30820902894398894,0.28708133971291866,0.26836401169791846,0.25238634525157744
pct_interview_given_signal,0.0,1.0,1.0,0.9987212276214834,0.9293478260869565,0.7928388746803069,0.6649616368286445,0.5700712589073634,0.4988009592326139,0.44374911107950504,0.3994366918448342,0.36304398417500583,0.3334758443779393,0.30839181575565877,0.28602860286028603,0.268133379168099,0.252243512005821
pct_interview_given_signal,0.0,1.0,1.0,0.9978687127024722,0.9264705882352942,0.7933503836317135,0.6647485080988917,0.5699671172816952,0.4990403071017274,0.44374911107950504,0.3991301010617884,0.3644859813084112,0.33319094404100813,0.30863586902759915,0.2876636548036142,0.268433278843672,0.25304136253041365
pct_interview_given_signal,0.0,1.0,1.0,0.9987212276214834,0.9370204603580563,0.7915601023017903,0.6649616368286445,0.5700712589073634,0.4988009592326139,0.44374911107950504,0.39938556067588327,0.3633399324560382,0.3340113478214324,0.30820902894398894,0.2876636548036142,0.26938352616128475,0.253411306042885
pct_interview_given_signal,0.0,1.0,1.0,0.9953111679454391,0.9347826086956522,0.7915601023017903,0.6649616368286445,0.5699671172816952,0.498960498960499,0.44337075458291886,0.39994872452249713,0.36329762459245457,0.3336898395721925,0.3080872913992298,0.2873457358629582,0.2691511387163561,0.2529387920551277
pct_interview_given_signal,0.0,1.0,1.0,0.9965899403239556,0.9290281329923273,0.7918158567774936,0.6638959931798807,0.5703839122486288,0.4988009592326139,0.44400170769887576,0.39923224568138194,0.36312849162011174,0.33365415463586784,0.3090026740616025,0.28769017980636236,0.2692440455643769,0.2523251112009705
