Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9999416262915183,0.9809112401856338,0.8830917552082465,0.7745589641405184,0.6888627792094826,0.6202909732816619,0.5642909937838657,0.5180957588599159,0.4788635789321685,0.44579619065222686,0.4170105077845629,0.3924585241015096,0.3710774954716796,0.3520809003078883,0.3356836248264169,0.3217161428017074,0.309181333745109,0.29740652097147563,0.28719269948147264,0.2784125343358843,0.27113343587280336,0.2635801395891806,0.2580030293231675,0.25121500282889114,0.24783622070782324,0.24245913699900842,0.23898317299030736,0.23515282052645692
pct_interview_given_nosignal,0.20923703014338219,0.18237581028931657,0.15287212293081845,0.12078908976138819,0.0861763869914823,0.04863665834641537,0.013133625191670927,0.0009184980883919337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20943400322479422,0.1820404138760581,0.15194279044590298,0.12052759314807229,0.08580329327992879,0.048883201711246285,0.013429870667924547,0.0006819407567208762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.21025185842671695,0.1827379583388093,0.15230573907219358,0.12094685383921784,0.08603105227628975,0.04863034853056473,0.013032952452620948,0.0005891731678135732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20968726720899766,0.1823668403805995,0.15282985560941165,0.12071076133779471,0.08594235763139607,0.04859742139036165,0.013252749753845697,0.0007691224703692309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.21044657429386765,0.18263069970570248,0.1527587042572098,0.12076083718569679,0.08574556401952288,0.04871767433565186,0.013322500030776428,0.0007588598847367461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20982201114358137,0.18214250626320186,0.15310925265008257,0.12026986935070928,0.08622263401477867,0.04873077591605335,0.01313671132126332,0.0006692967939114907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20926054831311783,0.18330446102856812,0.1524213955875896,0.12038283532185971,0.08638012678091807,0.04901013309858481,0.013421072843448897,0.0006100177318713587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2103773192156645,0.18193620405542993,0.15318954802922322,0.12049521779719233,0.08591427311305556,0.04862765947346935,0.013476553281447569,0.000835293227077074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.21045617347363746,0.18201658396501577,0.15221217943150792,0.12085737694419232,0.08637337946530109,0.04890035660239549,0.013716280293739417,0.0005731946305605689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20959863796437297,0.18223127802920155,0.1532225392235883,0.12004299235569593,0.08625745082113899,0.04853287052843215,0.013130507181017137,0.0006022610749840998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.20923703014338219,0.21010782578394452,0.21042404053022418,0.21035855310106408,0.21022520166722136,0.20942697684699121,0.20899102551730794,0.20865858406314025,0.2106943462757213,0.21025852367290654,0.21008536450167087,0.2099461285989281,0.2096992834813401,0.21071442754457725,0.21107864529359463,0.210915870167091,0.20955352382456902,0.20905113400193448,0.20995152834108222,0.21085049523639218,0.21029143952139476,0.21142895851513593,0.21092928542039766,0.20997271462745276,0.208975798034698,0.21000055409117174,0.21136494911068177,0.20960443384878538,0.21001177506654398,0.21067886957643858,0.2111655894807221,0.20996648292291073,0.2095208385572046
pct_interview_given_application,0.20943400322479422,0.20973451152531855,0.2092312545594353,0.20994945148430622,0.20943813660845212,0.21033395371146668,0.2107826487664289,0.2099037710284533,0.20972953743688055,0.20927581732343092,0.20975441023867175,0.2102810219990568,0.2105919077301042,0.20945797912131076,0.20914507123585185,0.20962182342541655,0.2098971282544241,0.2094852687163796,0.2100645712996211,0.21052046881075376,0.2095800105066496,0.21048414129333104,0.20984483109784915,0.21012405080835983,0.21009118733592813,0.21014443964783183,0.2110240792553308,0.21035771912923162,0.21041235825618676,0.2095493858852336,0.2096545402101287,0.21052422754550415,0.20923414231155224
