Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994423076923077,0.9748106591865358,0.91977649171822,0.8409968567579703,0.7680264879005886,0.7046843941041894,0.6515272336442117,0.6058613018667183,0.5675112493582581,0.5334090263979563,0.5055146069833755,0.4799387051462138,0.4569038877677551,0.4385223904977481
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973076923076923,0.9755468311833988,0.9176769944619069,0.8403825431034483,0.7683186130192999,0.704823344085215,0.6518210197710718,0.6058613018667183,0.567202921734931,0.534182324682339,0.5064000646743377,0.4804909230375863,0.45636019233571323,0.4387476360579954
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9967313978081138,0.9740828004039044,0.9194352988127307,0.8416299757390601,0.767256528668928,0.7049291019581364,0.6520245654210471,0.6068003487358327,0.566997556045017,0.5344253903250575,0.5038204777607979,0.4801471715468343,0.45709281961471104,0.43680993003416935
pct_interview_given_nosignal,0.28552327701470764,0.2606335268847661,0.23153711959682108,0.2038084655015658,0.17539559912621877,0.13983980689049813,0.10256895670446586,0.06500511298698694,0.029023913180642312,0.007310751235073883,0.0008414360508601347,0.0002439143372847456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2861667783395261,0.25944142478971194,0.23398246845464488,0.20702216445478178,0.17429363076434357,0.14019616830140252,0.10362426883816951,0.06494205875900035,0.02930038714590958,0.008419632756069969,0.0010139183334869574,4.846252635149871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2897093964387574,0.26202717881381404,0.23334635671029497,0.20641497851442603,0.1721487214349213,0.14010626603151338,0.10443733374455454,0.06597414305325056,0.030024613817688,0.00839830745108147,0.0007176258160100005,7.23030945724477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28253123449551215,0.25921810441968196,0.23319830152764898,0.20574837678893157,0.1765810223676447,0.14040724895800819,0.1025184960926413,0.06458241889788915,0.029331726874259955,0.00914342802536704,0.000823478280760345,0.00014564520827264782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.287704579206026,0.2593723574180212,0.23662446142925533,0.2052355843407199,0.173257078698993,0.1398142392218525,0.10280054644808743,0.06412168207575306,0.029864023382894903,0.007998745294855709,0.0013410005227629156,4.9329123914759274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.287515299877601,0.2590316224078071,0.2328119670613458,0.2021644370960469,0.1751591791852154,0.14272116461366183,0.10331547539608396,0.06406265490234955,0.027812738564384015,0.007707635376294642,0.0010921750210471227,0.00026592529916596156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2874361405977546,0.2617497392458674,0.2327817204475697,0.20515905970882836,0.17413382702988628,0.14194230983405726,0.10335291425083919,0.06539833531510107,0.028386988245684128,0.009240895320707015,0.0008328513591671486,9.945795414988313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28567085220881094,0.2627462800215743,0.23607108153955106,0.20480500803654514,0.17207073786915236,0.140629310186292,0.10376653964728184,0.06448884868032884,0.02953815344820393,0.007852825693739797,0.0014165261382799326,7.116424708226587e-05,7.614793004543493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2878852870886697,0.26089216520177677,0.2324985401933433,0.20463881798049127,0.175707652071806,0.14155082094663385,0.10271868956887727,0.0642814549791294,0.029201654342649454,0.008641413813267494,0.001704894182901048,4.847544718600029e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2878323734836417,0.25946987498825075,0.2336963610277814,0.2036884349391711,0.1748769345185395,0.1396508272763797,0.10335355385143642,0.06484798751075796,0.029547476670322165,0.00791805579926303,0.0013937446848719644,0.0004306117078538791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.28552327701470764,0.2856882240262702,0.28315703824247357,0.28437826304081354,0.2881192217469298,0.2854668914915919,0.28387993413598805,0.2870278443891188,0.2874757147883553,0.2882783377053707,0.2888677099025425,0.2870059258354206,0.2817180121430178,0.28597516435354275,0.2835929011227816,0.2829566500534534,0.28901876345739774,0.28631938201819207,0.2881236392628254,0.2872823444880987,0.28952639201306507
