Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
pct_interview_given_signal,0.0,0.8032490974729242,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11682785299806576,0.1022804244750508,0.0910095429432446,0.08181325627596171,0.07450657894736842,0.06839800694549297,0.06318872925094156,0.05869396216636434,0.055005767712950036,0.0518039910801075,0.048885771326822425
pct_interview_given_signal,0.0,0.8068592057761733,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11684291978333763,0.1022688791059939,0.09091821374811841,0.08189460363373406,0.07444535743631882,0.06834640917320459,0.06316670152687723,0.05883881023509547,0.05497906426360823,0.05169462512838069,0.04899680925855822
pct_interview_given_nosignal,0.02994942315956497,0.0006146491377838483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.02995734550143835,0.00030747155888080353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.029504673201550136,0.0009642869442435514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.02981243830207305,0.00034186865406310896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.030271642888168665,0.00041254125412541255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.029988084204951675,0.0007204116638078902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03001888605414002,0.0006130581383467866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03044150258719172,0.0003399048266485384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.029913824413114538,0.0005482080449530597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.029706866024001573,0.000406421459053038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.02994942315956497,0.02980949560754121,0.030120682203530702,0.02958270750342846,0.02995338380665851,0.029930624380574828,0.029750763471579154,0.02954123055854446,0.03048452220726783,0.030007949125596185,0.03021107739504485,0.02995239354668077,0.029987091649290042,0.02970102281667978,0.02965338919255065,0.030100667796272303,0.029837966012383085,0.030261531781288622
