Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
reviews_per_program,66.81818181818181,64.75324675324676,53.116883116883116,39.94805194805195,26.74025974025974,23.961038961038962,18.844155844155843,17.68831168831169,18.7012987012987,20.103896103896105,22.2987012987013,24.493506493506494,26.662337662337663,28.857142857142858,31.181818181818183,33.142857142857146,35.45454545454545,37.298701298701296,39.701298701298704,41.15584415584416,43.25974025974026,44.96103896103896,46.298701298701296,48.116883116883116,49.688311688311686,50.66233766233766,52.22077922077922,54.25974025974026,55.1948051948052,54.64935064935065,57.97402597402598,58.506493506493506,59.96103896103896,58.36363636363637,59.94805194805195,60.77922077922078,63.27272727272727
pct_interview_given_signal,0.0,1.0,0.9738372093023255,0.8410852713178295,0.7616279069767442,0.6779069767441861,0.5552325581395349,0.5066445182724253,0.4418604651162791,0.3956043956043956,0.35602094240837695,0.3239809422975119,0.2986822840409956,0.2756756756756757,0.2561741314357472,0.23813229571984434,0.22666666666666666,0.21242624088858036,0.203525108081144,0.1923318667504714,0.18601823708206686,0.17806226360197847,0.17042606516290726,0.1627226801382611,0.16071428571428573,0.15454545454545454,0.15242839352428394,0.1472569778633301,0.14512686744130898,0.1424581005586592,0.13985374771480805,0.13752808988764045,0.13746630727762804,0.13203883495145632,0.13229571984435798,0.12502553626149132,0.1308531109685696
pct_interview_given_signal,0.0,1.0,0.9825581395348837,0.8934108527131783,0.752906976744186,0.663953488372093,0.5717054263565892,0.5008305647840532,0.44476744186046513,0.3953488372093023,0.35602094240837695,0.32346723044397463,0.29810034096444227,0.27542754275427545,0.25703485930281395,0.23868954758190328,0.22458715596330275,0.21147201105736005,0.20440881763527055,0.19453273998728543,0.18500604594921402,0.177032108764825,0.17205510261456283,0.16887417218543047,0.15904365904365905,0.15315315315315314,0.14662194537613799,0.14669223394055608,0.14030261348005502,0.1433255269320843,0.13762086800089948,0.13578877301974707,0.13141507408202704,0.13811780636425186,0.13630289532293988,0.1295238095238095,0.1275
pct_interview_given_signal,0.0,1.0,0.9651162790697675,0.8372093023255814,0.7456395348837209,0.6593023255813953,0.5833333333333334,0.5058139534883721,0.4433139534883721,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29694323144104806,0.2746858168761221,0.25692695214105793,0.23776223776223776,0.2259970457902511,0.21242624088858036,0.20224719101123595,0.19184952978056427,0.18472683368548143,0.1784256559766764,0.16906077348066298,0.16447191615157217,0.1594165147173743,0.1548582995951417,0.15756951596292482,0.14616670647241461,0.1424249476378869,0.14150289017341042,0.1393759963561831,0.1381489841986456,0.13709677419354838,0.13342053629823414,0.1293595434369055,0.1298811544991511,0.13359528487229863
pct_interview_given_signal,0.0,1.0,0.9476744186046512,0.8604651162790697,0.7354651162790697,0.6430232558139535,0.5823643410852714,0.5058139534883721,0.44476744186046513,0.3936651583710407,0.3558139534883721,0.3238095238095238,0.29665535627726614,0.27443946188340806,0.2551062942892872,0.24075531077891424,0.22700296735905046,0.2138364779874214,0.20271613116926135,0.19385492556224262,0.18506198971877835,0.17647058823529413,0.16948213791193575,0.1639432092151085,0.15680245964642583,0.15765069551777433,0.15392354124748492,0.14854368932038836,0.14292386735170481,0.14272388059701493,0.13855558071088975,0.1405281285878301,0.13102119460500963,0.1345646437994723,0.12830188679245283,0.12736732570239334,0.12705003113971353
pct_interview_given_signal,0.0,1.0,0.9418604651162791,0.8953488372093024,0.75,0.6732558139534883,0.5813953488372093,0.5066445182724253,0.4418604651162791,0.394702842377261,0.3562281722933644,0.32363828662083555,0.29766536964980544,0.2755515533543449,0.2556390977443609,0.23924941360437843,0.22466960352422907,0.21316614420062696,0.20291777188328913,0.19245283018867926,0.18361836183618363,0.17790697674418604,0.1691542288557214,0.16644003263530052,0.1572052401746725,0.1536144578313253,0.1510365251727542,0.1493411420204978,0.14345991561181434,0.13758992805755396,0.13969413375941567,0.13578877301974707,0.1302959335746221,0.13391684901531728,0.13786888938950215,0.13429888084265965,0.13459423795909392
pct_interview_given_signal,0.0,1.0,0.9563953488372093,0.8817829457364341,0.7630813953488372,0.6534883720930232,0.5852713178294574,0.5041528239202658,0.4450909090909091,0.3956043956043956,0.35664335664335667,0.3248407643312102,0.2989741084513923,0.27604871447902574,0.2561741314357472,0.23953033268101762,0.22608053195419284,0.2128695652173913,0.20271613116926135,0.19101123595505617,0.1857359635811836,0.17926186291739896,0.16985845129059118,0.16707616707616707,0.16156282998944033,0.15517241379310345,0.15242839352428394,0.14366197183098592,0.14641148325358852,0.1424581005586592,0.1366986821532276,0.13584905660377358,0.13737373737373737,0.13864975079293157,0.13353698450796422,0.13035143769968052,0.13026819923371646
pct_interview_given_signal,0.0,1.0,0.938953488372093,0.8449612403100775,0.7848837209302325,0.6616279069767442,0.5823643410852714,0.5008305647840532,0.44468704512372637,0.3958602846054334,0.3562281722933644,0.32363828662083555,0.2975206611570248,0.276797829036635,0.25671140939597314,0.2391559202813599,0.227255848496101,0.21294363256784968,0.20124958895100295,0.19348719570028455,0.1880184331797235,0.17852975495915985,0.17090198268640044,0.16447191615157217,0.15781330582774625,0.15388483781745033,0.1510365251727542,0.1523145843703335,0.14634146341463414,0.14176511466296038,0.1351291675866637,0.14359455654622244,0.13141507408202704,0.1310492505353319,0.12925026399155226,0.13183972425678586,0.13074129459517198
pct_interview_given_signal,0.0,1.0,0.9738372093023255,0.8585271317829457,0.7398255813953488,0.641860465116279,0.5591085271317829,0.5049833887043189,0.4450909090909091,0.3956043956043956,0.3564356435643564,0.3239809422975119,0.29694323144104806,0.27443946188340806,0.2562814070351759,0.2387826765509169,0.2251655629139073,0.21176470588235294,0.20291777188328913,0.19107087105838277,0.18562329390354868,0.17571059431524547,0.17142857142857143,0.16473755047106325,0.16012558869701726,0.1560428352881183,0.1499265066144047,0.14602720114531137,0.14153561517113783,0.14104632403779674,0.13934426229508196,0.13645484949832776,0.13356612832824094,0.13263979193758127,0.13518886679920478,0.12944162436548223,0.12930488062539616
pct_interview_given_signal,0.0,0.9941860465116279,0.9331395348837209,0.8701550387596899,0.7630813953488372,0.6441860465116279,0.5775193798449613,0.5,0.4440406976744186,0.3953488372093023,0.3546511627906977,0.3238095238095238,0.2983910287664554,0.2755515533543449,0.2562814070351759,0.24028268551236748,0.2247521116415718,0.21331474381317533,0.20285051375538615,0.1934260429835651,0.18422636965683323,0.17581154840563057,0.16920099529997235,0.16495956873315365,0.159333506899245,0.15544831089662178,0.15466262319939347,0.14416961130742048,0.15066469719350073,0.14369570321671754,0.13953488372093023,0.14043139054612208,0.13627254509018036,0.13321723987810188,0.13438735177865613,0.13144329896907217,0.13292788879235448
pct_interview_given_signal,0.0,0.9941860465116279,0.9563953488372093,0.8507751937984496,0.7630813953488372,0.6523255813953488,0.5784883720930233,0.5041528239202658,0.4440406976744186,0.3953488372093023,0.3564356435643564,0.3244962884411453,0.29810034096444227,0.27542754275427545,0.25489379425239483,0.23981191222570533,0.22417582417582418,0.21309192200557103,0.20019627085377822,0.19312085831492584,0.1837286100270189,0.17677642980935876,0.17166900420757364,0.1651821862348178,0.159958180867747,0.15688285055114073,0.1522009450385476,0.14648157012924845,0.144,0.14543726235741444,0.13709677419354838,0.13584905660377358,0.13255360623781676,0.13618157543391188,0.13258232235701906,0.13076923076923078,0.12561576354679804
pct_interview_given_nosignal,0.11927499512765542,0.08992438176987533,0.0586864406779661,0.03979432148446233,0.020365656098125434,0.006967803940413263,0.008879781420765027,0.0005351886540005352,0.0010672358591248667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12881498631866975,0.09187721862601796,0.05751469353484467,0.033201407211961305,0.022423664122137404,0.00977587029089175,0.00567741935483871,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12436496647022963,0.09423859498822018,0.06171478950848578,0.039224231858792764,0.023577042152893544,0.010914382731021102,0.0024807740014884646,0.0007594936708860759,0.000535475234270415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12439024390243902,0.09183886453767481,0.05965790571547768,0.03717636645275504,0.024662633783154957,0.013879087273582686,0.0026290630975143404,0.0007830853563038371,0.0,0.0007761966364812419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12126015454725579,0.08835341365461848,0.06153846153846154,0.03350457895912441,0.022335970218706376,0.007875894988066826,0.0030643513789581204,0.0005070993914807302,0.001100715465052284,0.0002846569883290635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1191588785046729,0.09385665529010238,0.06156188818794866,0.03584474885844749,0.019612263300270515,0.011165698972755694,0.0019502681618722574,0.0013171759747102212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12009419152276295,0.08754476721050537,0.06053623795559279,0.039568345323741004,0.0162748643761302,0.010669975186104219,0.0027120315581854043,0.0022658610271903325,0.0002827254735651682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12259615384615384,0.09062821833161688,0.05829124579124579,0.036305048335123526,0.02408230067804536,0.014814814814814815,0.008194802154062281,0.001033858878263117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1231636144093379,0.09049866611943361,0.062446351931330475,0.03435919055649241,0.019612263300270515,0.013181818181818182,0.004138644593895499,0.002592016588906169,0.0002646202699126753,0.0,0.0006265664160401002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
