Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
reviews_per_program,646.8813559322034,649.3940677966102,642.1228813559322,644.7203389830509,632.1483050847457,403.3728813559322,142.70762711864407,153.40254237288136,175.28389830508473,197.08898305084745,218.89406779661016,240.71186440677965,261.91525423728814,283.48728813559325
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9995649651972158,0.9610982211910286,0.8374528697109342,0.7193370165745856,0.6295633673420047,0.5597472109369962,0.5038699690402477,0.4585475804747482,0.4209369241214316,0.3893366027241601
pct_interview_given_signal,0.0,1.0,1.0,0.9998711007991751,0.998791569992266,0.9637664346481052,0.8380651606458058,0.7192575406032483,0.6296090331004135,0.5595908368074956,0.5040357702804715,0.4583861427967892,0.42086208847154655,0.3891969450132273
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9997583139984532,0.962722351121423,0.8382637277648879,0.7194363862411935,0.6295938104448743,0.5596629986244842,0.5039187227866473,0.45852335757426355,0.4212365330486266,0.3891911281162193
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9985498839907193,0.9610595514307811,0.8381992781644754,0.7194562634690833,0.6294720556952234,0.5598194130925508,0.5039577325772677,0.4588707972087122,0.42071249697067614,0.38909808140577373
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9985498839907193,0.962877030162413,0.8382262898391931,0.7192972763935694,0.6295329271830578,0.5596870566994798,0.5040260142458965,0.4585475804747482,0.4208961013771255,0.38923766816143496
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9996133023975251,0.9636117556071152,0.8380329348071284,0.7193171459351951,0.6295785885254225,0.5597231476903897,0.5038309728349198,0.458644497675074,0.4207532841054145,0.3894821861258189
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9997099767981439,0.9611755607115235,0.8386182005671565,0.7193767611470246,0.6295177082074217,0.5596870566994798,0.5039577325772677,0.4587980337227126,0.4210322079937912,0.3890515747325644
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9983565351894819,0.9635730858468677,0.838580774064645,0.7192774079496175,0.6295329271830578,0.5598916338773141,0.504182156133829,0.45858795766338517,0.4210662484032146,0.3893133194791215
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9977281515854601,0.9633410672853828,0.8375547821603506,0.7193966350802553,0.6295938104448743,0.5596990865126277,0.5038602194229987,0.4584910643542565,0.4209029046179708,0.38908645369512596
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9989365815931941,0.9587780355761795,0.8383281773653003,0.7192774079496175,0.629487272463558,0.5598434846172038,0.5040747981958613,0.4583861427967892,0.421277421859833,0.38922021434016413
pct_interview_given_nosignal,0.17125044390956082,0.14191187971356486,0.10986903353609452,0.07712432670111026,0.04079411943751141,0.009392943412663841,0.0004356582138013234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17059413140465007,0.14162967789225067,0.11080520140624338,0.07632846037823414,0.04100948778181152,0.008810329460574367,0.0002795248078266946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1705114689261837,0.14168737523933678,0.11105765148727818,0.07739487269999559,0.04065015973228717,0.00901120887257489,0.0002208227692810992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
