Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
reviews_per_program,271.22222222222223,145.22222222222223,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.66666666666667,121.5925925925926,132.66666666666666,143.5185185185185,154.07407407407408,163.1851851851852,175.62962962962962
reviews_per_program,271.037037037037,152.37037037037038,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.70370370370371,121.77777777777777,132.22222222222223,142.96296296296296,153.85185185185185,164.62962962962962,174.11111111111111
reviews_per_program,270.2962962962963,148.37037037037038,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.51851851851852,99.62962962962963,110.74074074074075,121.66666666666667,132.40740740740742,143.25925925925927,153.7037037037037,165.14814814814815,174.07407407407408
reviews_per_program,268.037037037037,134.66666666666666,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.70370370370371,121.44444444444444,132.25925925925927,142.88888888888889,153.8148148148148,165.25925925925927,174.44444444444446
reviews_per_program,262.22222222222223,145.5185185185185,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.62962962962963,110.33333333333333,121.5925925925926,132.59259259259258,143.25925925925927,153.07407407407408,164.33333333333334,174.0
reviews_per_program,266.2962962962963,153.33333333333334,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.55555555555556,121.5925925925926,132.59259259259258,143.1851851851852,154.59259259259258,164.0,175.2962962962963
reviews_per_program,269.44444444444446,145.59259259259258,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.66666666666667,110.22222222222223,121.77777777777777,132.77777777777777,143.37037037037038,153.59259259259258,164.8148148148148,174.77777777777777
reviews_per_program,267.3703703703704,124.81481481481481,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.62962962962963,110.62962962962963,121.70370370370371,132.7037037037037,143.40740740740742,153.8148148148148,164.88888888888889,173.77777777777777
reviews_per_program,270.4074074074074,166.22222222222223,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.5925925925926,110.62962962962963,121.66666666666667,132.37037037037038,143.37037037037038,153.85185185185185,163.77777777777777,173.74074074074073
reviews_per_program,264.85185185185185,146.03703703703704,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.48148148148148,110.66666666666667,121.48148148148148,132.14814814814815,143.33333333333334,154.1851851851852,164.55555555555554,173.55555555555554
pct_interview_given_signal,0.0,0.9130434782608695,0.5418060200668896,0.3612040133779264,0.2709030100334448,0.21672240802675585,0.1806020066889632,0.15480172001911133,0.1354515050167224,0.12040133779264214,0.10843373493975904,0.09869022235759975,0.09045226130653267,0.08361290322580645,0.07788461538461539,0.07353608715388107,0.06832560101223113
