Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
pct_interview_given_application,0.4761101220860086,0.477080198170474,0.4753841488071169,0.48360557393346243,0.4806193627513606,0.48023488362197353,0.48047204270862603,0.47739501201312984,0.4761944946076859,0.47989590774568835,0.47452068617558024,0.4742335619201291,0.4822582299251359,0.4838377775872417,0.4769713208631634
pct_interview_given_application,0.4782527628991796,0.4792845130713958,0.48263357309636423,0.474110045957504,0.4785528926881392,0.47676982738955215,0.4754882960616121,0.4785163702968786,0.4786137757308974,0.47841089247412105,0.4766973314072835,0.4790363245867961,0.4774354028123255,0.4793333673105346,0.48033299001540675
pct_interview_given_application,0.48426129342304,0.48123006600603774,0.476311058215796,0.4782365503915387,0.4783216783216783,0.47970009180863,0.4776536312849162,0.482200536632885,0.4750359875748163,0.47436511739338766,0.47689473328375365,0.48186701051175423,0.471149109550726,0.4796837810268616,0.47922345927492294
pct_interview_given_application,0.47297750360411706,0.47531207358366606,0.4796593169338524,0.4771084337349398,0.4798714220113271,0.48035343389288027,0.48294336134741456,0.4734258987373631,0.47625075957058943,0.4804106860090923,0.4766570653872469,0.48087329248651456,0.4826913700633837,0.48085690182611435,0.4798632606551243
pct_interview_given_application,0.4771003660897723,0.47172413793103446,0.47725773440010827,0.47841494845360827,0.47674565961221643,0.4760458583251082,0.4810044580069385,0.4772456254598659,0.47617842134575467,0.4760458583251082,0.48334875115633674,0.4772375531743951,0.4780582853270078,0.4808282208588957,0.4818834701075122
pct_of_app_match_via_signal_given_matched,0.0,0.9648562300319489,0.9862751356527291,0.9929802169751116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.969358442387488,0.9840510366826156,0.9974481658692185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9770334928229665,0.9830670926517572,0.9948963317384371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9690194825934206,0.9888143176733781,0.9984051036682615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9759846301633045,0.9837112743532418,0.9958532695374801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9696969696969697,0.9865857553497285,0.9964912280701754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9700159489633173,0.981806575167571,0.9958519463943841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9699680511182108,0.9866028708133971,0.9958532695374801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9725677830940989,0.9881977671451355,0.9961722488038277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9719029374201787,0.9878787878787879,0.9948947032546267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
