Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
reviews_per_program,65.83116883116882,66.44155844155844,65.57142857142857,65.25974025974025,65.1038961038961,58.064935064935064,44.1948051948052,27.857142857142858,27.636363636363637,22.155844155844157,23.48051948051948,24.532467532467532,26.636363636363637,28.935064935064936,31.233766233766232,33.25974025974026,35.03896103896104,37.64935064935065,39.116883116883116,40.83116883116883,43.0,44.77922077922078,46.25974025974026,48.97402597402598,50.298701298701296,51.896103896103895,51.98701298701299,54.714285714285715,52.84415584415584,55.81818181818182,56.54545454545455,58.03896103896104,59.62337662337662,59.81818181818182,61.64935064935065,60.37662337662338,60.077922077922075,63.311688311688314
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.998546511627907,0.9709302325581395,0.9244186046511628,0.856312292358804,0.7718023255813954,0.6957364341085271,0.6276223776223776,0.5700687466948704,0.5233009708737864,0.48427672955974843,0.4501043841336117,0.4214229867083659,0.39763924751014385,0.3727524204702628,0.35612817971589034,0.3376135295959912,0.321695016413011,0.3106628242074928,0.3048642533936652,0.29072276159654803,0.28102189781021897,0.27754891864057674,0.26936531734132935,0.2608274860875877,0.2534085566525623,0.2471343420449335,0.24544626593806923,0.23812679478683454,0.23897140323653293,0.236144578313253,0.236144578313253,0.228486646884273,0.23516579406631763,0.23455178416013925
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9956395348837209,0.9767441860465116,0.9205426356589147,0.8571428571428571,0.7674418604651163,0.689922480620155,0.627108784176847,0.5697674418604651,0.5266243282852956,0.48405927256398745,0.4502923976608187,0.4217527386541471,0.3954512105649303,0.37443556790552274,0.35518945634266885,0.3407079646017699,0.32686476652516677,0.3133720930232558,0.30495049504950494,0.2885438972162741,0.28677839851024206,0.2763394001538067,0.27284231840040496,0.2600723763570567,0.26177756192326374,0.251106452364314,0.24422292705029452,0.2443336355394379,0.22931291214635183,0.23781160379439664,0.23739264479189606,0.24202963628199373,0.22185634904301296,0.22304986550796607
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.997093023255814,0.9825581395348837,0.9244186046511628,0.8571428571428571,0.7616279069767442,0.6923076923076923,0.6274052478134111,0.5698412698412698,0.5258536585365854,0.48580441640378547,0.45161290322580644,0.42274509803921567,0.39866863905325445,0.3752175426383571,0.3570718781053329,0.34146341463414637,0.32676568657168836,0.3096811261131859,0.30306438009558617,0.293014406088611,0.2812418471171406,0.27146814404432135,0.270107742420446,0.26051232479458675,0.25666666666666665,0.2508727018850361,0.24505569447601727,0.24690792487402657,0.23343438718059767,0.23103300471495927,0.23881258307487815,0.2242562929061785,0.23547400611620795,0.22277330026865055
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9956395348837209,0.9732558139534884,0.9147286821705426,0.856312292358804,0.7710755813953488,0.6977950713359273,0.625,0.5700687466948704,0.5225399903053806,0.48778280542986424,0.4508573818485989,0.420929324482624,0.3953061972863953,0.37417563346060395,0.35542367293109134,0.3407079646017699,0.32528666264333134,0.3103051237766264,0.2959912136188907,0.291036717062635,0.28072916666666664,0.2665018541409147,0.2681592039800995,0.2644101054697081,0.2567277923315075,0.24696449026345935,0.24073246985261276,0.24505569447601727,0.23860115095174855,0.23823204419889502,0.22467694872863694,0.2327790973871734,0.2233733941152093,0.21910569105691058
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9956395348837209,0.9627906976744186,0.9253875968992248,0.8413621262458472,0.7665454545454545,0.6944444444444444,0.6274738067520372,0.5697674418604651,0.5238095238095238,0.4838420107719928,0.4497288277012933,0.4217527386541471,0.3953061972863953,0.3769230769230769,0.35460526315789476,0.34092346616065783,0.32421052631578945,0.31319000581057527,0.3057288712422008,0.2873900293255132,0.2811684924360981,0.279781988061251,0.26499508357915436,0.2582654528030666,0.2528142589118199,0.25257731958762886,0.23897140323653293,0.23934280639431615,0.2367669668350538,0.23739264479189606,0.23939595825005552,0.23881258307487815,0.2412712623097583,0.22467694872863694
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9837209302325581,0.9118217054263565,0.8571428571428571,0.7703488372093024,0.6918604651162791,0.6282051282051282,0.5687103594080338,0.5235551238465275,0.4860234445446348,0.4497288277012933,0.4229109454688113,0.3953061972863953,0.3762652705061082,0.3577829405907733,0.33803700219504546,0.32996632996632996,0.3195967981025793,0.2991120976692564,0.2926961715992398,0.2846580406654344,0.2716049382716049,0.2636341403766202,0.26247869491112735,0.2600096478533526,0.25514792899408284,0.24295695289610098,0.2400890868596882,0.2396088019559902,0.2353711790393013,0.23063756953359008,0.2213097926503798,0.23358613217768148,0.2213552361396304
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9927325581395349,0.9616279069767442,0.9291949563530553,0.8421926910299004,0.7659883720930233,0.6886304909560723,0.6267441860465116,0.5706723133933298,0.5235551238465275,0.48405927256398745,0.4508573818485989,0.42224833529181355,0.40148975791433894,0.375609756097561,0.3532110091743119,0.34254845884969815,0.3210244192972007,0.31585115733958397,0.3038331454340473,0.29072276159654803,0.2764811490125673,0.27208480565371024,0.2668977469670711,0.2596964586846543,0.2538860103626943,0.24942156409069874,0.2461187214611872,0.23358613217768148,0.23739264479189606,0.23152920962199314,0.23009605122732124,0.22351233671988388,0.22800338409475465,0.22694736842105262
pct_interview_given_signal,0.0,1.0,1.0,0.998062015503876,0.9927325581395349,0.9534883720930233,0.9205426356589147,0.8529900332225914,0.7701818181818182,0.6914618369987063,0.6255813953488372,0.5699893955461294,0.5218023255813954,0.4827586206896552,0.45351283129995795,0.4201091192517537,0.39588688946015427,0.37339799099411153,0.35507246376811596,0.34092346616065783,0.3272616879174256,0.3149284253578732,0.3061630218687873,0.29095816464237517,0.27776346302499355,0.2798546209761163,0.26862696237229006,0.25832734243949196,0.2531110589340221,0.24522292993630573,0.2414874551971326,0.2498840982846546,0.23516579406631763,0.23812679478683454,0.23839009287925697,0.23063756953359008,0.2229114971050455,0.22351233671988388
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.997093023255814,0.9686046511627907,0.9186046511627907,0.8496677740863787,0.7652616279069767,0.6964401294498382,0.627108784176847,0.5709745762711864,0.5233009708737864,0.4844943820224719,0.4487926727726894,0.4249113125739062,0.39588688946015427,0.37430555555555556,0.3532110091743119,0.33835530445699935,0.32140727489564697,0.3157586408904511,0.2986977001939595,0.2926961715992398,0.2767650834403081,0.2733958914532082,0.2692980264801399,0.26013513513513514,0.25838926174496646,0.24555808656036446,0.2476453020905123,0.2394491337183474,0.235217106698669,0.23063756953359008,0.23053892215568864,0.23692307692307693,0.22647058823529412,0.22286541244573083
