Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
pct_interview_given_signal,0.0,1.0,0.9927536231884058,0.947463768115942,0.833786231884058,0.7039855072463768,0.592391304347826,0.5098343685300207,0.44640833899841376,0.39685737308622077,0.3574668844129922,0.3251361610826869,0.2985753258563201,0.2766076944678461,0.25704592901878914,0.2400682427492079,0.22493720027403516,0.21434011533021435,0.20376499793131983,0.1929291940064636,0.18532455315145813,0.17757346313322517,0.1733239486186873
pct_interview_given_signal,0.0,1.0,0.990036231884058,0.9577294685990339,0.8392210144927537,0.7003623188405798,0.5937783147085473,0.5098343685300207,0.4461050724637681,0.39685737308622077,0.35727239753355094,0.3246539222148978,0.2988470873786408,0.27594901246673204,0.2567109721136304,0.24071358748778104,0.22555530112205174,0.2127659574468085,0.20321848566123377,0.19439510558515888,0.18548159307033235,0.17857142857142858,0.1704152249134948
pct_interview_given_signal,0.0,1.0,0.9954710144927537,0.9547101449275363,0.8315217391304348,0.7039855072463768,0.5942028985507246,0.5098343685300207,0.4463072043497961,0.39693733628853517,0.35779150018162004,0.3251361610826869,0.2982137450802301,0.2766076944678461,0.25574451512397767,0.23992205577883327,0.22545204852368964,0.2137123020177913,0.20307184826306565,0.19406954979804944,0.18412935788391438,0.1768243425186249,0.17134904757762895
pct_interview_given_signal,0.0,1.0,0.9836956521739131,0.9498792270531401,0.8392210144927537,0.7047101449275363,0.5948067632850241,0.5098343685300207,0.44620611551528877,0.39669754329440193,0.357207615593835,0.3247609627431586,0.2987111448066717,0.2761811299593439,0.25634352635003255,0.23995127892813642,0.2265930526800092,0.21361960529169377,0.20338633078670246,0.19266503667481663,0.1843188622754491,0.17762149490577947,0.17059231035677175
pct_interview_given_signal,0.0,1.0,0.9918478260869565,0.9384057971014492,0.8378623188405797,0.7021739130434783,0.5926932367149759,0.5098343685300207,0.4461050724637681,0.39677744209466265,0.35688405797101447,0.32518983162759985,0.29902853673345475,0.27668539325842695,0.2565104166666667,0.24068417837507636,0.2261248852157943,0.21290392305198313,0.20275833676410046,0.1929291940064636,0.18485502486628508,0.1777657462551886,0.1700621546961326
pct_interview_given_nosignal,0.12217054263565892,0.09174430641821946,0.05626927029804728,0.026766958053804975,0.00946207718670839,0.002670323325635104,0.0,7.895152376440866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1213577280847656,0.0896447085598685,0.057270165782058846,0.02706396938217605,0.009329940627650551,0.0022363026462914647,0.0009325458501709667,8.155276463872126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12115621156211562,0.09177993527508091,0.0593346911065852,0.029060426126440796,0.008826186670373201,0.0027235587834770767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12157491977289558,0.08969006957621758,0.05954001088731627,0.028144239226033423,0.010181154332256706,0.0015736766809728183,0.0001539408866995074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12278733482921965,0.09168498642182853,0.05704896483733158,0.027164799785364544,0.010926635447708244,0.0016989215541438913,7.935878104912309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11873191899710704,0.0907461922436964,0.057023553206759316,0.027660895357660205,0.009099887133182844,0.0020241397406102406,0.0005928121526491293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12326367163058441,0.09181559181559182,0.05742159366201794,0.026477280562642213,0.008296107211231652,0.0027326440177252585,0.0003180914512922465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1202979970688813,0.09283142389525369,0.05780461906026015,0.026809097174362508,0.009820447050201539,0.001970227670753065,0.00015074998115625234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12473091047233127,0.09022078004708278,0.056859844342960056,0.0270141535111595,0.008329180607958994,0.0018032313906520484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.12134277794887588,0.09007749968237835,0.05838782864006406,0.027882037533512063,0.008481764206955046,0.0023986207930439996,0.000536480686695279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.12217054263565892,0.12306346826586706,0.11816218809980807,0.12002680801803449,0.12603966730646193,0.11856042368801155,0.11848911343678575,0.11918446366991349,0.12310191839030182,0.12057041434604321,0.12014392876745746,0.11799940101826895,0.12162746187565598,0.12124569177744954,0.12136520453425333,0.1224743549891203,0.12264973228738638,0.12269556552067763,0.11815510106159659,0.1220343182803692,0.12360396536579245,0.12009266032674958,0.12197387158689864
pct_interview_given_application,0.1213577280847656,0.12034208918753818,0.12037885731744577,0.12094793713163064,0.12044509660063585,0.12179289026275116,0.12175525339925834,0.1221629666377279,0.12244390577413139,0.11972772578096512,0.12045246102109447,0.11916283571255747,0.12120093515442353,0.12157491977289558,0.11943013034252804,0.11745066475883861,0.11886803837567127,0.12220843672456576,0.12076258198982406,0.12419619215735721,0.12290990766159221,0.12138016019716574,0.12196631996037642
pct_interview_given_application,0.12115621156211562,0.12310961129858768,0.12441581407098648,0.1233485692818233,0.11869614990660962,0.12329452997872074,0.1196332058055505,0.12140260060393172,0.12056303549571604,0.12318659329664833,0.12006338371526085,0.12161244521266745,0.12449443882709808,0.1221099609496064,0.121529919802591,0.11845349046960496,0.12369709908326008,0.12418836285696275,0.11832542495044747,0.12050403719109372,0.1235264609982443,0.12177783272547443,0.1202025748977973
pct_interview_given_application,0.12157491977289558,0.12040092898178707,0.12468354430379747,0.1198515544199063,0.11975683890577507,0.11768219832735961,0.12082924435721296,0.11942289039767216,0.1241179435483871,0.12297896248205256,0.11897572170552,0.12287157737167093,0.11994641987335607,0.12176277891093393,0.12099993857871139,0.12120839229680674,0.11960415275332402,0.1210891880263077,0.11920609947960789,0.12004143562244836,0.11925661359646468,0.12220843672456576,0.1180418239558991
pct_interview_given_application,0.12278733482921965,0.12298664002996629,0.12071818126110669,0.11892544521581648,0.12084406821248926,0.12087372683764878,0.12379815245396845,0.1219059405940594,0.12528618672093614,0.12068120558686596,0.11969135427425724,0.12257341961174714,0.11856042368801155,0.12125315442850988,0.12310961129858768,0.12336401778445738,0.12449443882709808,0.1234877452516768,0.12268792426978888,0.12093308778391651,0.12068120558686596,0.1208366558302153,0.12045246102109447
