Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.998546511627907,0.9988372093023256,0.9912790697674418,0.9867109634551495,0.9149709302325582,0.8906148867313916,0.8371278458844134,0.793633952254642,0.7464857004362578,0.7143497757847533,0.6800670016750419,0.6586220319190347,0.6249081557678178,0.6036224312086381,0.5724661604489931,0.5477323184268951,0.524659606656581,0.5107511045655375,0.482202447163515,0.4696641386782232,0.4558359621451104,0.4426857288741384,0.42179518365361224,0.4252084355076018,0.41622659625540087,0.3900134952766532,0.3821908750275512,0.38584779706275035,0.3915104989839693,0.3718636071198799,0.3745949449125081,0.3828659748288806
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.997093023255814,1.0,0.991270611057226,0.9651162790697675,0.9170305676855895,0.8875968992248062,0.8325581395348837,0.7868504772004242,0.7679961089494164,0.7144784172661871,0.69485140226036,0.6556603773584906,0.6260162601626016,0.6060393258426966,0.5725672534041847,0.5446260213702074,0.5246894880339291,0.5082111436950146,0.48748945740792804,0.46525355513818084,0.45262333594361787,0.44427363566487316,0.4211804712169055,0.4167267483777938,0.40495095749649695,0.40204034314862047,0.39598081753825076,0.3784373635966827,0.395529197080292,0.38143422789265286,0.37154488965073923,0.37314396384764364
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9835271317829457,0.9626245847176079,0.9222383720930233,0.8882428940568475,0.8474082702387886,0.7837123215230037,0.7194767441860465,0.7305282005371531,0.688655462184874,0.654752553024352,0.6210836712126797,0.6018194541637508,0.5756065137919575,0.5482137211508062,0.5191616766467065,0.5005773672055427,0.4828738512949039,0.47519868457111536,0.4532148457919498,0.43909850595087363,0.4192456479690522,0.4122681883024251,0.4072334429309535,0.39679633867276887,0.39373297002724794,0.3867945572161499,0.37589421200953826,0.3748378728923476,0.3762204382729442,0.35878336436995656
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9965116279069768,0.9903100775193798,0.967607973421927,0.9206695778748181,0.8979328165374677,0.8250728862973761,0.7948990435706695,0.7480582524271845,0.7277227722772277,0.681419624217119,0.6575981344733773,0.6273497972723922,0.5956929489406044,0.5734612839179352,0.5404814004376368,0.5216606498194946,0.5046565774155995,0.48927765237020315,0.46725949878738887,0.4534518828451883,0.4366658272475447,0.4287833827893175,0.42458374142997063,0.40297466883569605,0.41041420118343197,0.3921302578018996,0.3973418881759853,0.36877924287537217,0.374675885911841,0.37411003236245954,0.3829505300353357
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9941860465116279,0.9757751937984496,0.9543189368770764,0.9215116279069767,0.8804909560723514,0.8418604651162791,0.7873015873015873,0.7560620756547042,0.7183288409703504,0.6779166666666666,0.6530451866404715,0.6284773060029283,0.5960608154803041,0.5705318797489264,0.5487341772151899,0.5232347616173808,0.5065731814198072,0.4839519955344683,0.46991869918699186,0.46080255115599256,0.43832153690596565,0.42210321324245376,0.4146341463414634,0.41266063779152784,0.4002770083102493,0.4058038848584133,0.39027683997299123,0.3915989159891599,0.3781897491821156,0.3681528662420382,0.3602742572200291
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9953488372093023,0.9883720930232558,0.9601328903654485,0.9251453488372093,0.8798449612403101,0.835081585081585,0.7932871603622802,0.7489093553078041,0.7195340501792115,0.6934276206322796,0.6614173228346457,0.6260550458715596,0.5986750348675035,0.5745672436750998,0.5497780596068484,0.5200959808038392,0.4955701629036868,0.4759813340653308,0.4662543694541543,0.45499868800839677,0.44552929085303183,0.42635849520531105,0.4314506096043792,0.4164265129682997,0.414336917562724,0.3974329589731836,0.3896629213483146,0.3771204871683341,0.3894004042218729,0.3906285199369227,0.3767108407560287
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.997093023255814,0.9953488372093023,0.9951550387596899,0.9775747508305648,0.9280523255813954,0.8927648578811369,0.8282887077997672,0.7804232804232805,0.7555771096023278,0.7229456668163449,0.6911456147712967,0.6536813400857031,0.6291097155522719,0.5958260869565217,0.578,0.5462290943515304,0.5327188940092166,0.5020266357845976,0.4848993288590604,0.46928281461434374,0.4515625,0.4386541866936504,0.43263473053892215,0.40973534971644615,0.3979802616479229,0.39706892603618044,0.40372526193247965,0.3960712654179991,0.38422335475293595,0.36877924287537217,0.3751622674167027,0.3737874541927139
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.998546511627907,1.0,0.9912790697674418,0.9609310058187863,0.9331395348837209,0.8713639301874596,0.823803967327888,0.797568710359408,0.7497565725413826,0.715633423180593,0.6905060644081974,0.669815033451397,0.6372041420118343,0.5982517482517482,0.5767565767565768,0.5428302478820207,0.5218176346674691,0.49443969204448246,0.4807319101746604,0.4658785599140247,0.4558359621451104,0.4362264150943396,0.4261489309412632,0.4171277363483281,0.4060889929742389,0.3978889398806792,0.3901012373453318,0.3874860335195531,0.3705920068390682,0.3740293356341674,0.36260978670012545,0.37122671804752727
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.998546511627907,0.9953488372093023,0.9961240310077519,0.9659468438538206,0.9273255813953488,0.8863049095607235,0.8354651162790697,0.7922628510863805,0.7639902676399026,0.7220475976650202,0.6805845511482255,0.6565420560747663,0.6239347906632086,0.5961070559610706,0.5764627659574468,0.5441083805923126,0.5217129071170085,0.5095503967087863,0.48720832161934213,0.4700460829493088,0.44155844155844154,0.43832153690596565,0.4284655300222387,0.4163265306122449,0.40828820343772076,0.39963125144042405,0.3974329589731836,0.39168737293878475,0.37564991334488734,0.37427153032592275,0.3812664907651715,0.3849056603773585
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9961240310077519,0.9617940199335548,0.9265988372093024,0.872093023255814,0.8281887012230634,0.7979851537645811,0.7629665535627727,0.7115902964959568,0.6784968684759917,0.6566288619475948,0.6196049743964887,0.5965948575399583,0.5702533728200065,0.5410552606931002,0.5224465200361554,0.4989928057553957,0.48557826939232707,0.4668820678513732,0.448062015503876,0.44899016053858104,0.43425995492111197,0.4185372918175235,0.414535022710973,0.40963855421686746,0.3961617546264565,0.39561943874058864,0.3751622674167027,0.3713062098501071,0.37106783650759684,0.368936170212766
pct_interview_given_nosignal,0.34805299076676033,0.3259599332220367,0.30336097773897863,0.2590387069332199,0.2281045751633987,0.21191571809154758,0.16639363444886496,0.13704819277108435,0.12626262626262627,0.10367796119316536,0.08561643835616438,0.07428214731585518,0.06652949245541838,0.0525923162998881,0.0454733360892931,0.016921837228041903,0.013790221479314668,0.0004640371229698376,0.0,0.0036288232244686366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3486828875930022,0.30265452431699286,0.30270034843205573,0.2602564102564103,0.23937871174052078,0.2107547624789004,0.18075653719218077,0.13743392599711676,0.13018401538039,0.10797840431913618,0.08235614944095991,0.07969397513547975,0.053726169844020795,0.04950495049504951,0.029065200314218383,0.025123715264560333,0.01833180568285976,0.0037002775208140612,0.004911591355599214,0.0005330490405117271,0.0011299435028248588,0.0006067961165048543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.33269378357636226,0.3112793941809486,0.3052261747913922,0.26126126126126126,0.23810607785112678,0.2036821253786996,0.17346200241254522,0.14739810305049988,0.12311358220810167,0.09563132658497603,0.08193832599118943,0.08121173058330648,0.08352901710835291,0.03458799593082401,0.03458318165271205,0.025719769673704415,0.022171945701357467,0.005792304509722797,0.0010940919037199124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
