Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pct_interview_given_nosignal,0.03668171557562077,0.002847785846504343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.036542515811665496,0.0021180457497881953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03590168461750898,0.0030281182408074983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.035606683100520405,0.002768065268065268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03572900920709084,0.003430787589498807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03594635697497581,0.0027604242336190616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.0356359649122807,0.03589672787518984,0.03656821378340366,0.035976200359762005,0.035976200359762005,0.03568977350720659,0.03572900920709084,0.03507825148407987,0.03620161514898357,0.03614625330182122,0.03582747691883698,0.03566040323686737,0.03572900920709084,0.03616636528028933,0.036552790664979615,0.035966247060450963,0.03540305010893246,0.035847235626637254,0.035986159169550176
pct_interview_given_application,0.03576341127922971,0.036728351462070916,0.03668171557562077,0.03595132743362832,0.03666102650874224,0.03568977350720659,0.03590664272890485,0.03554826360404703,0.03685851998865892,0.03562131798876558,0.036619718309859155,0.036226835725233386,0.0364963503649635,0.035106670267350794,0.03540787144218984,0.0361563064942289,0.03668171557562077,0.036989614454403186,0.035817605730816916
pct_interview_given_application,0.036394176931690926,0.0360560255165719,0.03625714684144471,0.03622178879910839,0.036216743279008215,0.03594635697497581,0.03618146395769552,0.035931453841901606,0.03583735354927636,0.03583241455347299,0.03549488054607509,0.03632807042056728,0.03626220362622036,0.03582254064480573,0.036011080332409975,0.03639927201455971,0.036101083032490974,0.0360560255165719,0.035886818495514144
pct_interview_given_application,0.03635855125157321,0.03561643835616438,0.036414565826330535,0.03607103218645949,0.0364656381486676,0.037201316354271,0.0359364201796821,0.03600609333887273,0.03554826360404703,0.036905606813342796,0.0358719646799117,0.03640436852422291,0.03570447679209009,0.03595132743362832,0.03640946646127993,0.03608104357479878,0.03628750872295883,0.035263800352638,0.03618146395769552
pct_interview_given_application,0.03668171557562077,0.03550942365473914,0.03602604960509907,0.03607103218645949,0.036216743279008215,0.035733919736118745,0.03644519203812728,0.03674392312040701,0.03564573622155196,0.036211699164345405,0.03577325261419923,0.03627738244732803,0.03648098779290024,0.03545615709804991,0.035941387890517006,0.03588186585702457,0.035523978685612786,0.0368637459237204,0.03682197988953406
pct_interview_given_application,0.036542515811665496,0.03522557918981168,0.03592648887660633,0.036241984945637025,0.03652198342463829,0.03668171557562077,0.03576833126977576,0.03656821378340366,0.03657335771557181,0.03579295154185022,0.035876914585345664,0.036151279199110126,0.03622178879910839,0.035797879664050666,0.03611612723989443,0.03657850309510411,0.036211699164345405,0.0364963503649635,0.036686891491463244
pct_interview_given_application,0.03590168461750898,0.035941387890517006,0.03571428571428571,0.03613118399110617,0.03595629926704467,0.036126163679310826,0.03550942365473914,0.036593947923997186,0.035797879664050666,0.03705287159754881,0.03672316384180791,0.03644519203812728,0.03535490889311939,0.03571428571428571,0.03625714684144471,0.03603104212860311,0.0363382250174703,0.03568977350720659,0.036671368124118475
pct_interview_given_application,0.035606683100520405,0.036297640653357534,0.03672316384180791,0.03608104357479878,0.03672316384180791,0.03564084989718986,0.035886818495514144,0.03624703750174264,0.03604602800499099,0.03544165757906216,0.03633314700950251,0.03616636528028933,0.036226835725233386,0.03694231315714692,0.03567018795445191,0.0361563064942289,0.036226835725233386,0.036216743279008215,0.03645030141595402
pct_interview_given_application,0.03572900920709084,0.03712694559474511,0.03581267217630854,0.03527336860670194,0.036937064923994886,0.036226835725233386,0.035966247060450963,0.03588186585702457,0.03591160220994475,0.036884664491417224,0.035852178709321565,0.03625714684144471,0.035417518049312084,0.036353467561521254,0.03648098779290024,0.035847235626637254,0.03589672787518984,0.035941387890517006,0.03673354054817745
pct_interview_given_application,0.03594635697497581,0.03620161514898357,0.036241984945637025,0.03530689842476915,0.036895132680573296,0.035876914585345664,0.03597122302158273,0.03635855125157321,0.036424768842813114,0.03599114064230343,0.035931453841901606,0.03602105846494874,0.036619718309859155,0.036292573981016193,0.03576341127922971,0.035422343324250684,0.03683763105695664,0.03592648887660633,0.03565551289083928
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
