Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
unfilled_spots,90.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,82.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,213.12542372881356,215.95254237288137,212.42372881355934,216.3728813559322,214.07796610169493,213.9593220338983,215.3593220338983,214.80677966101695,212.5627118644068,213.4677966101695,206.44745762711864,168.97966101694917,138.24745762711865,110.65423728813559,108.58305084745763
reviews_per_program,214.3457627118644,216.10508474576272,215.48474576271187,217.4915254237288,214.28813559322035,214.7728813559322,218.88813559322034,217.88135593220338,214.5220338983051,216.51186440677967,202.27457627118645,177.3864406779661,137.57966101694916,115.60338983050848,105.42372881355932
reviews_per_program,215.94915254237287,215.4135593220339,215.23728813559322,214.78305084745762,215.5627118644068,216.92203389830507,215.2271186440678,213.1864406779661,214.6271186440678,215.25084745762712,204.75593220338982,174.0949152542373,138.78983050847458,112.24406779661017,105.44745762711864
reviews_per_program,213.25423728813558,216.27118644067798,213.55593220338983,216.52542372881356,213.15254237288136,216.72203389830509,214.4372881355932,214.48813559322033,215.36271186440678,215.4677966101695,201.42033898305084,173.60677966101696,133.39322033898304,113.84406779661018,105.97627118644068
reviews_per_program,214.27457627118645,213.95593220338984,216.5864406779661,212.79661016949152,217.65084745762712,213.8542372881356,214.57966101694916,214.11864406779662,215.0,210.7728813559322,203.45762711864407,175.87457627118644,135.08813559322033,109.01694915254237,107.2813559322034
reviews_per_program,214.03728813559323,215.69830508474575,215.80677966101695,216.88135593220338,214.99661016949153,214.71525423728812,218.07118644067796,216.65762711864406,212.79322033898305,213.17966101694915,202.0135593220339,175.19661016949152,136.86779661016948,111.34237288135593,106.60677966101694
reviews_per_program,213.5186440677966,216.44745762711864,214.37627118644068,214.14237288135593,216.71186440677965,216.06440677966103,214.41694915254237,215.48474576271187,215.5322033898305,209.9728813559322,202.78305084745762,176.8508474576271,137.9322033898305,112.89152542372881,104.10508474576271
reviews_per_program,214.40338983050847,215.76949152542372,214.53898305084746,215.0,213.72881355932202,214.50169491525423,214.2,214.32881355932204,215.36949152542374,212.44745762711864,201.43389830508474,178.95593220338984,136.44406779661017,109.90508474576271,104.66440677966102
reviews_per_program,216.18305084745762,214.13898305084746,212.29491525423728,215.3050847457627,216.28135593220338,218.6813559322034,214.5864406779661,214.92542372881357,215.92542372881357,215.63050847457626,203.5864406779661,175.10508474576272,130.73559322033898,113.67457627118644,105.84745762711864
reviews_per_program,214.89491525423728,211.44406779661017,214.68813559322035,216.8915254237288,213.0677966101695,214.58983050847456,214.78983050847458,214.95593220338984,212.75254237288135,213.88813559322034,204.34915254237288,174.04745762711863,135.36610169491524,110.06440677966101,104.56949152542373
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999689842336521,0.996835590302015,0.9800491358861403,0.9440926220909903,0.8942089938531219,0.8359197324414716
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953016700004652,0.9821587489935161,0.9464112229433024,0.8930600503416037,0.8372785021731862
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963710803014795,0.9808450226723736,0.9451288229122139,0.8940990326872595,0.8364183093885733
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997416154203917,0.9957175441046409,0.9842452990005082,0.9454750515303543,0.893950843859081,0.8378704168759418
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994315539248617,0.9970221477759166,0.9795866508554972,0.9493080391851967,0.8933678235251851,0.837394564198688
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995866273962694,0.9962775115164487,0.9829581584636907,0.9445221445221446,0.8953107568287328,0.8375430731658359
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992245657568238,0.9966027550260611,0.9819983904443221,0.943071423020129,0.8941100277048177,0.8372706920172419
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991213107975396,0.9963700670141474,0.9819328086654819,0.9449758904961891,0.8947217131975136,0.8368220423995185
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959039285049339,0.979893328818151,0.9493857875913544,0.8934777134223117,0.8357555711469714
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999948317742519,0.9955789277736411,0.9790414090947582,0.9478466855656091,0.8952024742861253,0.8392276490898729
pct_interview_given_nosignal,0.39882618653772745,0.372414913491999,0.3559275568425201,0.32455513533297314,0.3019487066674,0.2734755457097569,0.24039031327776242,0.207381188938566,0.17299958244511351,0.13025706240348806,0.08646678813980453,0.04975482015866088,0.020123075325214863,0.005602950699664949,0.0024398325250760567
pct_interview_given_nosignal,0.3965555414979757,0.37214285714285716,0.35050450511254344,0.3226991526158005,0.30160590357254036,0.27222781970610044,0.2355320713815662,0.2035434190743224,0.17079363701469216,0.1286301462165622,0.08648940922020829,0.04762263015347577,0.019360382374264924,0.00663741390802044,0.0009563086486163409
pct_interview_given_nosignal,0.3936111765167569,0.3733793732490716,0.3509367661716757,0.32722991495044634,0.29954352847036575,0.2689858557018615,0.24056062942316056,0.2094865791454135,0.17073276516383668,0.1288899889741455,0.08686465826270684,0.04842311262764383,0.02020472694142237,0.005987514188422248,0.0011916872547594827
pct_interview_given_nosignal,0.39858528055952946,0.37184706970104947,0.3539022437262552,0.32430079063773465,0.30346746259857027,0.2692842904960698,0.24167378309137488,0.20778547430420174,0.1698614169149074,0.12832631484633994,0.08896187003453189,0.04603612644254892,0.020527701649739372,0.006525696681137096,0.0015527486637403327
pct_interview_given_nosignal,0.39668728544082515,0.3760128596266772,0.34859290832508266,0.3306345655338944,0.2962250238296495,0.2736375449056027,0.241472368290505,0.20823979379728944,0.1703264608528222,0.13299784327821712,0.08631748360985539,0.048331386825037896,0.017758859094976005,0.005941719971570718,0.0016888388492192824
