Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.1663003663003663,0.1276923076923077,0.1,0.07478632478632478,0.06787330316742081,0.047115384615384615,0.02923076923076923,0.01703296703296703,0.0053254437869822485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.16593406593406593,0.135,0.09838056680161944,0.08034188034188035,0.0760180995475113,0.04375,0.02666666666666667,0.01098901098901099,0.000591715976331361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.20384615384615384,0.16593406593406593,0.12923076923076923,0.09797570850202429,0.08205128205128205,0.05429864253393665,0.03076923076923077,0.024102564102564103,0.02032967032967033,0.0029585798816568047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.16886446886446888,0.13307692307692306,0.09878542510121457,0.08034188034188035,0.06334841628959276,0.035096153846153846,0.028205128205128206,0.013186813186813187,0.00650887573964497,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.1663003663003663,0.13423076923076924,0.10040485829959514,0.07863247863247863,0.07239819004524888,0.03894230769230769,0.021538461538461538,0.011538461538461539,0.004142011834319527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.16666666666666666,0.13230769230769232,0.10040485829959514,0.0811965811965812,0.06561085972850679,0.04278846153846154,0.02923076923076923,0.019230769230769232,0.00650887573964497,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_interview_given_application,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231,0.2990769230769231
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8888888888888888,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
