Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_interview_given_application,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731,0.2823920265780731
pct_of_app_match_via_signal_given_matched,0.0,0.8431372549019608,0.9702970297029703,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8921568627450981,0.9705882352941176,1.0,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8333333333333334,0.9215686274509803,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8811881188118812,0.9607843137254902,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.900990099009901,0.9803921568627451,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8725490196078431,0.9803921568627451,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8823529411764706,0.9215686274509803,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8529411764705882,0.9509803921568627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8333333333333334,0.9509803921568627,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8333333333333334,0.9801980198019802,0.9900990099009901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
