Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,55.92307692307692,52.717948717948715,46.97435897435897,44.84615384615385,41.88461538461539,41.217948717948715,43.93589743589744,44.294871794871796,47.666666666666664,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,57.76923076923077,56.34615384615385,53.05128205128205,46.37179487179487,44.37179487179487,43.30769230769231,42.12820512820513,43.02564102564103,44.23076923076923,47.88461538461539,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,57.64102564102564,52.333333333333336,47.69230769230769,43.55128205128205,43.46153846153846,40.80769230769231,43.01282051282051,44.5,47.666666666666664,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,56.243589743589745,52.5,46.06410256410256,44.91025641025641,43.53846153846154,40.92307692307692,44.205128205128204,44.37179487179487,47.666666666666664,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,57.43589743589744,57.15384615384615,50.08974358974359,46.782051282051285,43.333333333333336,42.56410256410256,42.26923076923077,42.256410256410255,44.91025641025641,47.91025641025641,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,55.57692307692308,50.65384615384615,45.794871794871796,46.282051282051285,42.41025641025641,40.96153846153846,41.794871794871796,44.53846153846154,47.666666666666664,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.15384615384615,57.41025641025641,53.833333333333336,48.65384615384615,44.282051282051285,42.1025641025641,42.11538461538461,43.14102564102564,44.47435897435897,47.666666666666664,51.333333333333336,55.0
reviews_per_program,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.05128205128205,55.41025641025641,53.06410256410256,47.833333333333336,44.55128205128205,42.67948717948718,41.717948717948715,42.717948717948715,44.794871794871796,48.05128205128205,51.333333333333336,55.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9958041958041958,0.9813519813519813,0.951048951048951,0.9195804195804196,0.8453768453768454,0.7912587412587413,0.7355371900826446,0.6789044289044289,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9972027972027973,0.9714452214452215,0.954045954045954,0.8990384615384616,0.8508158508158508,0.7884615384615384,0.7339478703115067,0.6789044289044289,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.990909090909091,0.9836829836829837,0.9455544455544456,0.8937937062937062,0.846930846930847,0.7958041958041958,0.7304513668150032,0.6815268065268065,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9973776223776224,0.9846153846153847,0.9912587412587412,0.9410589410589411,0.8872377622377622,0.8488733488733489,0.7867132867132867,0.7329942784488239,0.6812354312354313,0.628294782140936,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9986013986013986,0.9685314685314685,0.9495504495504495,0.8990384615384616,0.8325563325563325,0.8006993006993007,0.729815638906548,0.6803613053613053,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9965034965034965,0.9731934731934732,0.945054945054945,0.902972027972028,0.8461538461538461,0.7972027972027972,0.7266369993642721,0.6812354312354313,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9965034965034965,0.9790209790209791,0.938061938061938,0.909965034965035,0.8636363636363636,0.7888111888111888,0.7380801017164653,0.6783216783216783,0.6291016675632061,0.5844155844155844,0.5454545454545454
