Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.61199510403918,142.55691554467563,138.79926560587515,135.0844553243574,134.20073439412485,137.17135862913096
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.6205630354957,142.50550795593637,139.0905752753978,135.5483476132191,133.77111383108934,136.93880048959608
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.62790697674419,143.4969400244798,142.61933904528763,138.79804161566707,135.3549571603427,134.19706242350063,136.93145654834763
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.6156670746634,143.63647490820074,142.19461444308445,138.31334149326804,135.2093023255814,133.9436964504284,136.8641370869033
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.4798041615667,142.12117503059974,139.66952264381885,135.1077111383109,134.28029375764993,136.9033047735618
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.39902080783355,141.8347613219094,139.0563035495716,135.406364749082,133.63280293757649,137.00979192166463
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.5716034271726,142.58629130966952,139.1762545899633,135.0452876376989,134.2093023255814,137.0734394124847
reviews_per_program,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.68665850673196,143.57037943696452,141.98776009791922,139.2325581395349,135.05263157894737,134.49204406364748,137.01835985312118
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995291610393151,0.99191313434192,0.9763684591270798,0.9472828520804533,0.909508881922675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998909636091046,0.9987361691055299,0.9926286856571714,0.9761168366865518,0.9479838003076384,0.9095724864840307
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999454818045522,0.9989715885858723,0.9915156058334469,0.9745546807016072,0.9500866449891937,0.9086275044296034
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999986370451138,0.9989963695838031,0.9928899186770251,0.9754982648535871,0.9511770088981484,0.9092544636772523
