Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.37627118644068,119.70847457627119,109.7593220338983,101.72542372881355,97.69152542372882,102.70508474576272
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.35932203389831,120.12203389830509,111.0271186440678,100.98983050847458,98.60677966101694,102.82033898305085
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.35593220338983,121.34576271186441,110.65423728813559,100.37288135593221,98.96271186440678,102.8406779661017
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.57966101694915,120.18983050847457,110.33898305084746,99.95593220338984,98.8406779661017,102.27457627118645
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.50508474576272,120.49152542372882,111.74915254237288,102.76610169491525,98.07457627118644,102.95593220338984
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,122.58983050847458,119.76610169491525,110.49152542372882,101.67457627118644,98.97627118644068,103.07457627118644
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,122.99322033898305,119.90169491525424,110.98983050847458,100.58305084745763,99.06440677966101,102.93559322033899
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.74915254237288,123.07457627118644,120.75593220338983,111.86101694915254,102.08474576271186,99.16271186440677,103.09491525423729
reviews_per_program,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.95593220338984,123.52542372881356,119.07457627118644,111.07118644067796,101.71186440677967,98.86440677966101,102.86440677966101
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994834443927889,0.993863319386332,0.9819111618274798,0.9428172942817294,0.8877087580016451,0.8316065617320847
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998450333178367,0.995258019525802,0.9789527069861798,0.9451805361847203,0.8906412044487358,0.8312744902703062
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993801332713467,0.996048349604835,0.9810236253750898,0.9410351774368511,0.8897471658977936,0.8313409045626619
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993284777106255,0.99814039981404,0.9804319344068299,0.9424298775763211,0.889461073561492,0.831307697416484
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99953509995351,0.996187819618782,0.9804741980474198,0.9452967611963428,0.8889604119729643,0.8319054260476855
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998450333178367,0.9965132496513249,0.9792908161108997,0.9447156361382303,0.8902120659442835,0.8313409045626619
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99907019990702,0.9941887494188749,0.9827564346392799,0.9398341856500853,0.8898902120659443,0.8311084545394168
