Parameter,0,1,2,3,4,5,6,7,8
reviews_per_program,73.02475247524752,73.02475247524752,73.02475247524752,73.02475247524752,72.5990099009901,67.53960396039604,58.915841584158414,58.254950495049506,65.02970297029702
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993136058572301,0.984319707138499,0.9270896888346553,0.8259391615096313,0.7280735204392923
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993898718730934,0.9861500915192191,0.9249033963799065,0.8259827420901247,0.7282260524710189
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9846857840146431,0.9241915802318487,0.828510415758738,0.7281497864551556
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9983221476510067,0.9840146430750457,0.9289200732153752,0.8270286760219646,0.7280353874313605
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993898718730934,0.9818181818181818,0.9256660565385397,0.8257212586071646,0.7279591214154972
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9996186699206834,0.9848078096400245,0.9227679479357331,0.8260699032511113,0.7279209884075656
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.99908480780964,0.9860890787065284,0.9294793573317063,0.827202998343938,0.7276921903599756
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993898718730934,0.9846857840146431,0.9288183851942241,0.8259827420901247,0.7281497864551556
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.99908480780964,0.9832824893227577,0.9240898922106976,0.8255905168656846,0.727539658328249
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993898718730934,0.9856009762050031,0.9232763880414887,0.8267236119585113,0.7281497864551556
pct_interview_given_nosignal,0.6475154226832079,0.603111653447224,0.5468055434498388,0.47132397803538745,0.3661378889566809,0.2265863331299573,0.08846857840146431,0.02303233679072605,0.003355704697986577
pct_interview_given_nosignal,0.6474476306691072,0.6034929835265406,0.546849124030332,0.47132397803538745,0.36607687614399026,0.22429835265405734,0.09284116331096197,0.022117144600366078,0.0021354484441732766
pct_interview_given_nosignal,0.6475493186902583,0.6034929835265406,0.546849124030332,0.4711714460036608,0.3655887736424649,0.22605247101891396,0.09426479560707748,0.014185478950579622,0.0021354484441732766
pct_interview_given_nosignal,0.6475493186902583,0.6034929835265406,0.546849124030332,0.47132397803538745,0.36693105552165955,0.2265863331299573,0.0848078096400244,0.019066503965832825,0.0036607687614399025
pct_interview_given_nosignal,0.6474815266761575,0.6034929835265406,0.546849124030332,0.47132397803538745,0.36607687614399026,0.22956070774862722,0.09131584299369534,0.023947528981086028,0.004270896888346553
pct_interview_given_nosignal,0.6475493186902583,0.6034929835265406,0.546849124030332,0.4711206019930852,0.3657107992678462,0.2258999389871873,0.09711206019930853,0.0212019524100061,0.004575960951799878
pct_interview_given_nosignal,0.6475493186902583,0.6034929835265406,0.546849124030332,0.47132397803538745,0.3663209273947529,0.22429835265405734,0.08368924140736221,0.0187614399023795,0.006406345332519829
pct_interview_given_nosignal,0.6475493186902583,0.6034548505186089,0.546849124030332,0.47127313402481186,0.36607687614399026,0.22612873703477732,0.08501118568232663,0.022269676632092738,0.002745576571079927
pct_interview_given_nosignal,0.6475493186902583,0.6034929835265406,0.5467183822888521,0.4711714460036608,0.3663209273947529,0.22788285539963393,0.0944681716493797,0.024405125076266018,0.00762660158633313
pct_interview_given_nosignal,0.6475154226832079,0.6033785845027456,0.5468055434498388,0.47132397803538745,0.36607687614399026,0.22498474679682734,0.09589180394549522,0.02043929225137279,0.002745576571079927
pct_interview_given_application,0.6475154226832079,0.6472103586197546,0.6475154226832079,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475154226832079,0.6475493186902583
pct_interview_given_application,0.6474476306691072,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6473459426479561,0.6475493186902583
pct_interview_given_application,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6474476306691072,0.6475493186902583,0.6475154226832079,0.6475493186902583,0.6475493186902583,0.6474815266761575
pct_interview_given_application,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6473798386550065,0.6475493186902583,0.6474815266761575,0.6475493186902583
pct_interview_given_application,0.6474815266761575,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6474815266761575,0.6475493186902583,0.6475493186902583,0.6475493186902583
pct_interview_given_application,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6474137346620568,0.6474476306691072,0.6475154226832079,0.6475493186902583,0.6472103586197546,0.6475493186902583
pct_interview_given_application,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475154226832079,0.6475493186902583,0.6475493186902583,0.6475493186902583
pct_interview_given_application,0.6475493186902583,0.6475154226832079,0.6475493186902583,0.6475154226832079,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6473798386550065,0.6475493186902583
pct_interview_given_application,0.6475493186902583,0.6475493186902583,0.6474476306691072,0.6474476306691072,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6475493186902583
pct_interview_given_application,0.6475154226832079,0.6474476306691072,0.6475154226832079,0.6475493186902583,0.6475493186902583,0.6475493186902583,0.6474815266761575,0.6475493186902583,0.6475493186902583
pct_of_app_match_via_signal_given_matched,0.0,0.9426057813154587,0.9840871021775545,0.9958123953098827,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9476549413735343,0.990360435875943,0.9953936348408711,1.0,1.0,1.0,1.0,1.0
