Parameter,0,1,2,3,4,5,6,7,8,9,10
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.61881188118812,95.00247524752476,75.9430693069307,68.9430693069307,73.52970297029702,81.13861386138613
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,103.99752475247524,93.94554455445545,76.10891089108911,68.62128712871286,73.11138613861387,81.13861386138613
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.31683168316832,93.92079207920793,76.41089108910892,68.87128712871286,73.25,81.13861386138613
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.56188118811882,95.46782178217822,75.37871287128714,69.50247524752476,73.45049504950495,81.13861386138613
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.70049504950495,92.83168316831683,74.8490099009901,68.52475247524752,73.28960396039604,81.13861386138613
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.1559405940594,94.2871287128713,76.7450495049505,68.76237623762377,73.60148514851485,81.20792079207921
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,103.68069306930693,95.29950495049505,76.81683168316832,68.39356435643565,73.18069306930693,81.26485148514851
reviews_per_program,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,105.48019801980197,104.02475247524752,96.33168316831683,76.08168316831683,68.45297029702971,73.24009900990099,81.13861386138613
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999633923123856,0.9833231645312183,0.9334088730061885,0.8408328248932275,0.7530675886380584,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9995118974984747,0.9864754931869025,0.9293122984398152,0.8424725442342892,0.7530336926310081,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999267846247712,0.9852552369330893,0.9316656497864552,0.8415573520439292,0.7528642125957562,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.99908480780964,0.9868314012609315,0.9300967488886952,0.8419005491153142,0.7531014846451088,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9985356924954241,0.9875940614195647,0.9327987448792818,0.8407184258694326,0.7528642125957562,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999816961561928,0.9857128330282693,0.9310555216595485,0.8402989627821843,0.7527964205816555,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9991458206223307,0.986780557250356,0.9302710712106685,0.8415192190359976,0.7528303165887058,0.6778523489932886
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9991458206223307,0.9865771812080537,0.9324065196548418,0.8400701647345943,0.7525930445393533,0.6778218425869432
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9983526540573521,0.9878482814724425,0.9326244225573085,0.8433877364246491,0.7529997966239577,0.6776998169615619
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999267846247712,0.9855603009965426,0.9272204305761352,0.8430826723611958,0.7528642125957562,0.6778523489932886
pct_interview_given_nosignal,0.5214248838409912,0.4815436241610738,0.4344112263575351,0.37785234899328857,0.3087248322147651,0.22254423428920073,0.12551207182079666,0.040776896481594466,0.010372178157413058,0.0002287980475899939,0.0
