Parameter,0,1,2,3,4,5,6,7
reviews_per_program,110.74074074074075,46.407407407407405,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
reviews_per_program,110.74074074074075,43.074074074074076,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
reviews_per_program,110.74074074074075,48.925925925925924,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
reviews_per_program,110.74074074074075,49.81481481481482,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
reviews_per_program,110.74074074074075,42.0,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
reviews_per_program,110.74074074074075,46.666666666666664,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852
pct_interview_given_signal,0.0,0.8394648829431438,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8461538461538461,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8327759197324415,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.842809364548495,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8294314381270903,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.822742474916388,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8361204013377926,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8294314381270903,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8260869565217391,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_signal,0.0,0.8494983277591973,0.451505016722408,0.3010033444816054,0.225752508361204,0.1806020066889632,0.1505016722408027,0.12900143334925943
pct_interview_given_nosignal,0.0903010033444816,0.007060572277963582,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.0063173541434411,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.007803790412486065,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.008175399479747306,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.008918617614269788,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.007432181345224823,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.008175399479747306,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0903010033444816,0.005945745076179859,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816
pct_interview_given_application,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816
pct_interview_given_application,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816
pct_interview_given_application,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816,0.0903010033444816
