Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.993322203672788,0.9474123539232053,0.8452182208442642,0.7414440734557596,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9889816360601001,0.9454646633277685,0.8397328881469115,0.741652754590985,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9987479131886478,0.9943238731218698,0.9482470784641068,0.8447412353923205,0.7410267111853088,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9958263772954925,0.9943238731218698,0.9343350027824151,0.8361554972573336,0.7418614357262103,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9946577629382304,0.9401780745687257,0.8387789172430241,0.7414440734557596,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9873121869782971,0.9454646633277685,0.8402098735988552,0.7418614357262103,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9896494156928214,0.9401780745687257,0.8404483663248271,0.7414440734557596,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9886477462437395,0.9504730105731776,0.8435487717624612,0.7418614357262103,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9926544240400668,0.9460211463550362,0.8442642499403769,0.7414440734557596,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
pct_interview_given_nosignal,0.15217670476435083,0.12986556541604427,0.10634841853539684,0.08152476349471341,0.05528261388027665,0.0282824315034862,0.008144887944554055,0.0008347245409015025,0.00010770639237438742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15217670476435083,0.12986556541604427,0.10634841853539684,0.08152476349471341,0.05528261388027665,0.028478837277815968,0.007588404917286387,0.000573873121869783,0.00010770639237438742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15217670476435083,0.12986556541604427,0.10634841853539684,0.08152476349471341,0.05528261388027665,0.029117156044387704,0.007942530480093085,0.0017737896494156929,5.385319618719371e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15217670476435083,0.12986556541604427,0.10634841853539684,0.08152476349471341,0.05542570951585977,0.028331532947068645,0.007436636818940658,0.0006782136894824708,0.00021541278474877484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
