n_programs,simulated_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,8,834.1412921348316
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,9,815.8095505617978
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,10,658.4980337078651
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,11,355.16896067415735
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,12,201.72205056179774
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,13,183.60266853932586
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,14,194.888904494382
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,15,208.6095505617978
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,16,222.51685393258427
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,17,236.4241573033708
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,18,250.33146067415723
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,19,264.2387640449439
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,20,278.14606741573044
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,21,292.0533707865169
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,22,305.96067415730334
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,23,319.8679775280899
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,24,333.77528089887636
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,25,347.68258426966287
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,26,361.58988764044955
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,27,375.49719101123605
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,28,389.40449438202256
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,29,403.311797752809
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,30,417.2191011235956
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,31,431.126404494382
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,32,445.0337078651684
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,33,458.941011235955
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,34,472.8483146067416
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,35,486.755617977528
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,36,500.66292134831446
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,37,514.5702247191009
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,38,528.4775280898878
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,39,542.3848314606743
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,40,556.2921348314608
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,0,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,1,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,2,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,3,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,4,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,5,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,6,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,7,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,8,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,9,8.7072192513369
748,4488,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,10,8.7072192513369
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,0,5345.153846153846
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,1,5345.153846153846
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,2,5345.153846153846
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,3,434.00336538461545
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,4,485.9230769230768
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,5,607.4038461538461
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,6,728.8846153846154
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,7,850.3653846153845
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,8,971.8461538461536
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,9,1093.3269230769229
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,10,1214.8076923076922
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,11,1336.2884615384614
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,12,1457.7692307692307
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,13,1579.25
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,14,1700.730769230769
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,15,1822.2115384615383
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,16,1943.6923076923074
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,17,2065.173076923077
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,18,2186.6538461538457
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,19,2308.1346153846157
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,20,2429.6153846153843
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,21,2551.0961538461543
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,22,2672.576923076923
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,23,2794.057692307693
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,24,2915.538461538461
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,25,3037.0192307692314
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,26,3158.5
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,27,3279.9807692307686
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,28,3401.461538461538
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,29,3522.9423076923076
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,30,3644.423076923077
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,31,3765.903846153846
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,32,3887.3846153846143
