Parameter,0,1,2,3,4,5,6,7,8,9,10,11
reviews_per_program,217.53191489361703,215.7841945288754,97.22796352583586,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,216.28267477203647,98.83890577507599,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
pct_interview_given_signal,0.0,1.0,0.8988933601609658,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,0.999664654594232,0.9007377598926894,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,1.0,0.897719651240778,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,0.999664654594232,0.8917672702883971,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,1.0,0.8971327967806841,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,1.0,0.8972166331321261,0.6259221998658618,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,1.0,0.8966297786720322,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,1.0,0.8968812877263581,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,0.999664654594232,0.8947015425888666,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_signal,0.0,0.999664654594232,0.8947853789403085,0.6259780907668232,0.4694835680751174,0.3755868544600939,0.3129890453834116,0.2682763246143528,0.2347417840375587,0.20865936358894105,0.18779342723004694,0.17072129748186085
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.008014755197853789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07984269251874886,0.007645875251509054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.008249496981891348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07984269251874886,0.009439973172367538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.008366867873910127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.00835010060362173,1.8630300320441167e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.00846747149564051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07981220657276995,0.008417169684775318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1564945226917058,0.07984269251874886,0.008853118712273641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
