Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9997217584863661,0.9868829000715478,0.9559682804674458,0.8764607679465777,0.7959933222036728,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9994435169727324,0.988313856427379,0.9524207011686143,0.8786867000556483,0.7971619365609349,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906987836870975,0.9457429048414023,0.872936375440549,0.7949916527545909,0.7230232205190469,0.6641624930439621,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9980523094045631,0.989983305509182,0.9549248747913188,0.8753478018920423,0.7971619365609349,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9994435169727324,0.9852134509897448,0.94720367278798,0.8733073641253942,0.7943238731218698,0.7243891334041584,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9997217584863661,0.9897448127832101,0.9509599332220368,0.8718234093860138,0.7958263772954924,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9986087924318309,0.9864059146196041,0.9497078464106845,0.8740493414950844,0.7958263772954924,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9988870339454646,0.9878368709754353,0.9499165275459098,0.8751623075496198,0.7948247078464107,0.7246926696008499,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9991652754590985,0.9904602909611256,0.9542988313856428,0.8755332962344649,0.7963272120200334,0.7248444376991956,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9997217584863661,0.9890293346052945,0.9499165275459098,0.8733073641253942,0.7964941569282137,0.7245409015025042,0.664440734557596,0.6133299088223964,0.5695206296207965,0.5315525876460768,0.498330550918197,0.46901698909947953,0.442960489705064,0.41964677972058695,0.3986644407345576,0.3796804197471977,0.3624222188495978,0.34666473107352835,0.332220367278798,0.31893155258764605,0.3066649544111982,0.29530699313670933,0.28476031481039826,0.2749409936100397,0.2657762938230384,0.25720286499003714,0.2491652754590985,0.24161481256639855,0.23450849454973977,0.22780825184831863
