Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_of_app_match_via_signal_given_matched,0.0,0.9994444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9994404029099049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9988839285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9983333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9977641140301845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9983324068927182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
