Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
pct_interview_given_nosignal,0.28817581017596944,0.24794083039166245,0.20334608881374033,0.15340393343419062,0.09769036812909733,0.04227361141128161,0.008495286861398813,0.0011598587997982855,0.00019254572961078256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.24790721129601614,0.2034706772270179,0.15380105900151286,0.0978113968734241,0.0423816727901448,0.010403817060397998,0.0011094301563287948,5.501306560308073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.24799125903513194,0.20307911364243125,0.15370650529500757,0.09760968229954614,0.042597795547871194,0.009519376236471547,0.0011598587997982855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.24805849722642462,0.2032037020557088,0.15353630862329803,0.09787191124558749,0.042705856926734384,0.011032235540556266,0.0009581442259203228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.2479240208438393,0.20327489543472457,0.15357413010590015,0.09762985375693393,0.04294359196023341,0.011102059816129408,0.001059001512859304,8.25195984046211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.24795763993948564,0.20341728219275607,0.1534606656580938,0.09756933938477055,0.04089042576183272,0.010869312230885605,0.0024457892082702976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.28817581017596944,0.24804168767860144,0.20327489543472457,0.15363086232980333,0.09756933938477055,0.040868813486060085,0.009519376236471547,0.0005042864346949068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
pct_interview_given_application,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944,0.28817581017596944
