Parameter,0,1,2,3,4,5,6
reviews_per_program,126.8936170212766,126.8936170212766,111.72644376899696,60.06382978723404,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,113.22492401215806,60.41945288753799,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,114.5015197568389,60.13981762917933,72.51063829787235,90.63829787234043,108.76595744680851
pct_interview_given_signal,0.0,1.0,0.9844902749832327,0.799742901855578,0.6032863849765259,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9861670020120724,0.8008048289738431,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9851609657947686,0.798904538341158,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9841549295774648,0.7981779566286609,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9872568745808182,0.7985133020344288,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9855801475519785,0.7991839928459646,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9869215291750503,0.8024815560026828,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9813044936284373,0.8001900290632685,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9844902749832327,0.8002459199642298,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_signal,0.0,1.0,0.9838195841716968,0.7995193382517326,0.6036217303822937,0.482897384305835,0.4024144869215292
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08910127431254192,0.0038145539906103286,0.000447127207690588,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08843058350100604,0.0030181086519114686,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08883299798792757,0.004443326626425218,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08923541247484909,0.004988262910798122,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08799463447350771,0.004736753856472166,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08866532528504359,0.004233735747820255,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.0881287726358149,0.0017605633802816902,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.0903755868544601,0.0034792085848423878,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08910127431254192,0.003437290409121395,0.0,0.0,0.0
pct_interview_given_nosignal,0.3449267030755964,0.23574782025486252,0.08936955063715626,0.0039822266934942995,0.0,0.0,0.0
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
pct_interview_given_application,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964,0.3449267030755964
