Parameter,0,1,2,3,4,5,6
pct_interview_given_signal,0.0,1.0238987816307403,1.0112464854732897,0.9882849109653233,0.8098641049671977,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.022024367385192,1.0119493908153703,0.9843798812870977,0.8095126522961574,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.021087160262418,1.011480787253983,0.9770384254920338,0.8098641049671977,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.0257731958762886,1.0133552014995313,0.9853170884098719,0.8097469540768509,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.0243673851921276,1.012652296157451,0.9873477038425492,0.8097469540768509,0.6481724461105904,0.5401437050921587
pct_interview_given_nosignal,0.3600958033947725,0.2767104029990628,0.17411969473825145,0.047485160887222745,0.0,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.2772961574507966,0.1724461105904405,0.046313651983755075,9.372071227741331e-05,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.2770618556701031,0.17257999732226537,0.048890971571383945,0.00046860356138706655,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.2770618556701031,0.1747221850314634,0.04592314901593252,0.00046860356138706655,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.27753045923149017,0.17257999732226537,0.048890971571383945,9.372071227741331e-05,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.27712043111527646,0.174052751372339,0.04600124960949703,0.00028116213683223993,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.27735473289597,0.1738519212746017,0.04795376444860981,0.0005623242736644799,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.27747188378631676,0.17398580800642657,0.05162449234614183,0.00028116213683223993,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.27688612933458295,0.17345026107912706,0.047485160887222745,0.00037488284910965324,0.0,0.0
pct_interview_given_nosignal,0.3600958033947725,0.2770618556701031,0.17365109117686436,0.0464698531708841,0.00037488284910965324,0.0,0.0
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_interview_given_application,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725,0.3600958033947725
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
