n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,mean_reviews_per_program_best_rpp,mean_unmatched_applicants_best_rpp,mean_unfilled_spots_best_rpp,best_signal_ua,mean_reviews_per_program_best_ua,mean_unmatched_applicants_best_ua,mean_unfilled_spots_best_ua,best_signal_ufs,mean_reviews_per_program_best_ufs,mean_unmatched_applicants_best_ufs,mean_unfilled_spots_best_ufs
751,15976,8,8,20,21,3,18,heatmap_np751_pos6422_sppcalc8_na15976_ips8_ma21,4,87.521637816245,9968.0,0.0,3,253.1583888149134,9968.0,0.0,3,253.1583888149134,9968.0,0.0
521,2337,16,20,20,22,3,19,heatmap_np521_pos8542_sppcalc16_na2337_ips20_ma22,3,98.68330134357004,0.0,5999.0,3,98.68330134357004,0.0,5999.0,3,98.68330134357004,0.0,5999.0
521,2337,16,20,20,22,3,19,heatmap_np521_pos8542_sppcalc16_na2337_ips20_ma22,3,98.68330134357004,0.0,5999.0,3,98.68330134357004,0.0,5999.0,3,98.68330134357004,0.0,5999.0
250,8297,38,11,20,12,3,9,heatmap_np250_pos9706_sppcalc38_na8297_ips11_ma12,3,398.256,8.4,1211.4,4,398.256,0.0,1203.0,4,398.256,0.0,1203.0
250,8297,38,11,20,12,3,9,heatmap_np250_pos9706_sppcalc38_na8297_ips11_ma12,3,398.256,8.4,1211.4,4,398.256,0.0,1203.0,4,398.256,0.0,1203.0
555,5137,4,12,20,42,3,39,heatmap_np555_pos2772_sppcalc4_na5137_ips12_ma42,7,69.68045045045044,2917.0,0.0,3,388.6804504504504,2917.0,0.0,3,388.6804504504504,2917.0,0.0
555,5137,4,12,20,42,3,39,heatmap_np555_pos2772_sppcalc4_na5137_ips12_ma42,7,69.68045045045044,2917.0,0.0,3,388.6804504504504,2917.0,0.0,3,388.6804504504504,2917.0,0.0
677,8917,6,15,20,46,3,40,heatmap_np677_pos4252_sppcalc6_na8917_ips15_ma46,9,119.66683899556868,4855.0,0.0,3,605.8818316100443,4855.0,0.0,3,605.8818316100443,4855.0,0.0
677,8917,6,15,20,46,3,40,heatmap_np677_pos4252_sppcalc6_na8917_ips15_ma46,9,119.66683899556868,4855.0,0.0,3,605.8818316100443,4855.0,0.0,3,605.8818316100443,4855.0,0.0
729,16817,13,19,20,55,3,40,heatmap_np729_pos9496_sppcalc13_na16817_ips19_ma55,13,300.43395061728387,7340.0,0.0,3,1268.7722908093278,7340.0,0.0,3,1268.7722908093278,7340.0,0.0
729,16817,13,19,20,55,3,40,heatmap_np729_pos9496_sppcalc13_na16817_ips19_ma55,13,300.43395061728387,7340.0,0.0,3,1268.7722908093278,7340.0,0.0,3,1268.7722908093278,7340.0,0.0
126,7793,77,17,20,46,3,40,heatmap_np126_pos9708_sppcalc77_na7793_ips17_ma46,23,1423.7214285714283,85.4,1994.4,4,2845.063492063492,0.0,1909.0,4,2845.063492063492,0.0,1909.0
126,7793,77,17,20,46,3,40,heatmap_np126_pos9708_sppcalc77_na7793_ips17_ma46,23,1423.7214285714283,85.4,1994.4,4,2845.063492063492,0.0,1909.0,4,2845.063492063492,0.0,1909.0
750,631,2,11,20,64,3,40,heatmap_np750_pos2018_sppcalc2_na631_ips11_ma64,33,30.470733333333328,0.55,869.55,4,53.845333333333336,0.0,869.0,4,53.845333333333336,0.0,869.0
750,631,2,11,20,64,3,40,heatmap_np750_pos2018_sppcalc2_na631_ips11_ma64,33,30.470733333333328,0.55,869.55,4,53.845333333333336,0.0,869.0,4,53.845333333333336,0.0,869.0
702,17541,2,10,20,11,3,8,heatmap_np702_pos1829_sppcalc2_na17541_ips10_ma11,3,74.96153846153848,16137.0,0.0,3,74.96153846153848,16137.0,0.0,3,74.96153846153848,16137.0,0.0
702,17541,2,10,20,11,3,8,heatmap_np702_pos1829_sppcalc2_na17541_ips10_ma11,3,74.96153846153848,16137.0,0.0,3,74.96153846153848,16137.0,0.0,3,74.96153846153848,16137.0,0.0
372,9454,3,9,20,34,3,31,heatmap_np372_pos1256_sppcalc3_na9454_ips9_ma34,3,76.24193548387096,8338.0,0.0,3,76.24193548387096,8338.0,0.0,3,76.24193548387096,8338.0,0.0
372,9454,3,9,20,34,3,31,heatmap_np372_pos1256_sppcalc3_na9454_ips9_ma34,3,76.24193548387096,8338.0,0.0,3,76.24193548387096,8338.0,0.0,3,76.24193548387096,8338.0,0.0
789,8462,3,13,20,39,3,36,heatmap_np789_pos2615_sppcalc3_na8462_ips13_ma39,5,59.08536121673004,6095.0,0.0,3,368.1875792141952,6095.0,0.0,3,368.1875792141952,6095.0,0.0
789,8462,3,13,20,39,3,36,heatmap_np789_pos2615_sppcalc3_na8462_ips13_ma39,5,59.08536121673004,6095.0,0.0,3,368.1875792141952,6095.0,0.0,3,368.1875792141952,6095.0,0.0
478,10687,1,16,20,71,3,40,heatmap_np478_pos811_sppcalc1_na10687_ips16_ma71,3,67.07322175732219,10209.0,0.0,3,67.07322175732219,10209.0,0.0,3,67.07322175732219,10209.0,0.0
478,10687,1,16,20,71,3,40,heatmap_np478_pos811_sppcalc1_na10687_ips16_ma71,3,67.07322175732219,10209.0,0.0,3,67.07322175732219,10209.0,0.0,3,67.07322175732219,10209.0,0.0
541,9828,13,19,20,23,3,20,heatmap_np541_pos7523_sppcalc13_na9828_ips19_ma23,15,280.16303142329014,2795.0,0.0,3,417.826247689464,2795.0,0.0,3,417.826247689464,2795.0,0.0
541,9828,13,19,20,23,3,20,heatmap_np541_pos7523_sppcalc13_na9828_ips19_ma23,15,280.16303142329014,2795.0,0.0,3,417.826247689464,2795.0,0.0,3,417.826247689464,2795.0,0.0
164,11967,32,9,20,46,3,40,heatmap_np164_pos5308_sppcalc32_na11967_ips9_ma46,5,364.8475609756098,6719.0,0.0,3,3356.5975609756106,6719.0,0.0,3,3356.5975609756106,6719.0,0.0
164,11967,32,9,20,46,3,40,heatmap_np164_pos5308_sppcalc32_na11967_ips9_ma46,5,364.8475609756098,6719.0,0.0,3,3356.5975609756106,6719.0,0.0,3,3356.5975609756106,6719.0,0.0
472,12383,11,8,20,60,3,40,heatmap_np472_pos5415_sppcalc11_na12383_ips8_ma60,5,131.17584745762716,7191.0,0.0,3,1334.394279661017,7191.0,0.0,3,1334.394279661017,7191.0,0.0
472,12383,11,8,20,60,3,40,heatmap_np472_pos5415_sppcalc11_na12383_ips8_ma60,5,131.17584745762716,7191.0,0.0,3,1334.394279661017,7191.0,0.0,3,1334.394279661017,7191.0,0.0
783,16187,1,18,20,58,3,40,heatmap_np783_pos1540_sppcalc1_na16187_ips18_ma58,3,62.01915708812262,15404.0,0.0,3,62.01915708812262,15404.0,0.0,3,62.01915708812262,15404.0,0.0
783,16187,1,18,20,58,3,40,heatmap_np783_pos1540_sppcalc1_na16187_ips18_ma58,3,62.01915708812262,15404.0,0.0,3,62.01915708812262,15404.0,0.0,3,62.01915708812262,15404.0,0.0
167,14236,35,12,20,68,3,40,heatmap_np167_pos5921_sppcalc35_na14236_ips12_ma68,6,511.4730538922156,8391.0,0.0,3,5796.694610778444,8391.0,0.0,3,5796.694610778444,8391.0,0.0
167,14236,35,12,20,68,3,40,heatmap_np167_pos5921_sppcalc35_na14236_ips12_ma68,6,511.4730538922156,8391.0,0.0,3,5796.694610778444,8391.0,0.0,3,5796.694610778444,8391.0,0.0
58,1347,140,19,20,44,3,40,heatmap_np58_pos8127_sppcalc140_na1347_ips19_ma44,3,1021.8620689655174,0.0,6773.0,3,1021.8620689655174,0.0,6773.0,3,1021.8620689655174,0.0,6773.0
58,1347,140,19,20,44,3,40,heatmap_np58_pos8127_sppcalc140_na1347_ips19_ma44,3,1021.8620689655174,0.0,6773.0,3,1021.8620689655174,0.0,6773.0,3,1021.8620689655174,0.0,6773.0
311,8277,30,8,20,29,3,26,heatmap_np311_pos9433_sppcalc30_na8277_ips8_ma29,10,289.1934083601287,111.6,1164.6,8,756.3319935691318,0.6,1053.6,8,756.3319935691318,0.6,1053.6
311,8277,30,8,20,29,3,26,heatmap_np311_pos9433_sppcalc30_na8277_ips8_ma29,10,289.1934083601287,111.6,1164.6,8,756.3319935691318,0.6,1053.6,8,756.3319935691318,0.6,1053.6
21,8245,334,9,20,11,3,8,heatmap_np21_pos7031_sppcalc334_na8245_ips9_ma11,8,3337.2380952380945,1231.0,0.0,3,4318.809523809525,1231.0,0.0,3,4318.809523809525,1231.0,0.0
21,8245,334,9,20,11,3,8,heatmap_np21_pos7031_sppcalc334_na8245_ips9_ma11,8,3337.2380952380945,1231.0,0.0,3,4318.809523809525,1231.0,0.0,3,4318.809523809525,1231.0,0.0
140,17918,60,20,20,41,3,38,heatmap_np140_pos8405_sppcalc60_na17918_ips20_ma41,10,1311.5235714285714,9518.0,0.0,3,5247.414285714286,9518.0,0.0,3,5247.414285714286,9518.0,0.0
140,17918,60,20,20,41,3,38,heatmap_np140_pos8405_sppcalc60_na17918_ips20_ma41,10,1311.5235714285714,9518.0,0.0,3,5247.414285714286,9518.0,0.0,3,5247.414285714286,9518.0,0.0
474,10785,8,10,20,53,3,40,heatmap_np474_pos4101_sppcalc8_na10785_ips10_ma53,5,113.88449367088609,6993.0,0.0,3,1101.0131856540083,6993.0,0.0,3,1101.0131856540083,6993.0,0.0
474,10785,8,10,20,53,3,40,heatmap_np474_pos4101_sppcalc8_na10785_ips10_ma53,5,113.88449367088609,6993.0,0.0,3,1101.0131856540083,6993.0,0.0,3,1101.0131856540083,6993.0,0.0
534,14390,5,18,20,43,3,40,heatmap_np534_pos2989_sppcalc5_na14390_ips18_ma43,5,134.83455056179773,11720.0,0.0,3,976.2022471910112,11720.0,0.0,3,976.2022471910112,11720.0,0.0
534,14390,5,18,20,43,3,40,heatmap_np534_pos2989_sppcalc5_na14390_ips18_ma43,5,134.83455056179773,11720.0,0.0,3,976.2022471910112,11720.0,0.0,3,976.2022471910112,11720.0,0.0
44,15858,211,9,20,34,3,31,heatmap_np44_pos9309_sppcalc211_na15858_ips9_ma34,6,2162.454545454545,6574.0,0.0,3,12253.90909090909,6574.0,0.0,3,12253.90909090909,6574.0,0.0
44,15858,211,9,20,34,3,31,heatmap_np44_pos9309_sppcalc211_na15858_ips9_ma34,6,2162.454545454545,6574.0,0.0,3,12253.90909090909,6574.0,0.0,3,12253.90909090909,6574.0,0.0
213,5460,7,10,20,48,3,40,heatmap_np213_pos1664_sppcalc7_na5460_ips10_ma48,4,102.5352112676056,3969.0,0.0,3,297.9436619718309,3969.0,0.0,3,297.9436619718309,3969.0,0.0
