Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
reviews_per_program,244.32,244.32,244.32,244.32,244.32,244.32,244.32,236.09142857142857,191.61142857142858,131.53142857142856,90.22857142857143,69.18285714285715,69.80571428571429,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714,122.16,127.97714285714285,133.7942857142857,139.61142857142858,145.42857142857142,151.24571428571429,157.06285714285715,162.88,168.69714285714286,174.5142857142857,180.33142857142857,186.14857142857142,191.96571428571428,197.78285714285715,203.6,209.41714285714286,215.2342857142857,221.05142857142857,226.86857142857144
reviews_per_program,244.32,244.32,244.32,244.32,244.32,244.32,244.32,228.09142857142857,194.70857142857142,132.7657142857143,88.14857142857143,67.0,71.88,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714,122.16,127.97714285714285,133.7942857142857,139.61142857142858,145.42857142857142,151.24571428571429,157.06285714285715,162.88,168.69714285714286,174.5142857142857,180.33142857142857,186.14857142857142,191.96571428571428,197.78285714285715,203.6,209.41714285714286,215.2342857142857,221.05142857142857,226.86857142857144
pct_interview_given_signal,0.0,1.0392927308447937,1.0368369351669942,1.0317616240995415,1.0267681728880158,1.0212180746561885,1.0152259332023577,1.0064552343530733,0.9836689587426326,0.9335297969875573,0.8644400785854617,0.7959457045901054,0.7302717747216765,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.044204322200393,1.0338899803536346,1.0307793058284218,1.0282416502946954,1.0216110019646365,1.0163719711853307,1.0035082795397137,0.9824410609037328,0.9374590700720367,0.8644400785854617,0.795499196285051,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0343811394891944,1.0412573673870333,1.0258677144728225,1.0233300589390963,1.0222003929273085,1.0157170923379175,1.001824305360651,0.9856335952848723,0.9289456450556647,0.8637524557956778,0.7947847829969638,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0461689587426326,1.038310412573674,1.028159790438769,1.0257858546168959,1.0237721021611002,1.0134250163719711,1.005613247263542,0.9769155206286837,0.9292730844793713,0.8680746561886051,0.7955884979460618,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0412573673870333,1.037328094302554,1.031434184675835,1.0240667976424362,1.0212180746561885,1.0134250163719711,1.006876227897839,0.9823182711198428,0.9325474787164375,0.8661100196463655,0.794606179674942,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0481335952848723,1.036345776031434,1.0284872298624754,1.024557956777996,1.0182711198428291,1.0145710543549444,1.0044905978108336,0.9841601178781926,0.9320017463435931,0.8666011787819253,0.7949633863189856,0.7305173542894564,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.044204322200393,1.0397838899803535,1.0337262606417812,1.0270137524557956,1.0208251473477408,1.0139161755075312,1.001824305360651,0.9844056974459725,0.9292730844793713,0.8672888015717093,0.7949633863189856,0.7302717747216765,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0412573673870333,1.038310412573674,1.0324165029469548,1.025049115913556,1.0218074656188605,1.011132940406025,1.0063149031714846,0.980844793713163,0.9340755293604016,0.8669941060903733,0.7955884979460618,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0392927308447937,1.030943025540275,1.0350360183366076,1.0221021611001964,1.0212180746561885,1.0137524557956779,1.006876227897839,0.987843811394892,0.9308011351233355,0.8646365422396857,0.79540989462404,0.7305992141453831,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_signal,0.0,1.0422396856581533,1.0402750491159136,1.0317616240995415,1.0282416502946954,1.0200392927308448,1.0139161755075312,1.0022452989054167,0.9829322200392927,0.924470639598341,0.8649312377210217,0.7953205929630291,0.7301080550098232,0.6743992745957382,0.6262278978388998,0.5844793713163065,0.5479494106090373,0.5157170923379175,0.4870661427635887,0.4614310826181367,0.43835952848722987,0.4174852652259332,0.39850866226111803,0.3811821986845477,0.36529960707269155,0.3506876227897839,0.3371996372978691,0.3247107618423925,0.3131139489194499,0.30231691619808954,0.2922396856581532,0.2828125990240193,0.2739747053045187,0.26567244150741204,0.25785854616895876,0.2504911591355599,0.24353307138179436,0.2369510964795837,0.23071554130906835,0.22479975819857942
pct_interview_given_nosignal,0.2087426326129666,0.18848531314389766,0.16733791748526522,0.1454334794216916,0.12263468100506669,0.09894865395847714,0.07432874918140144,0.04920011226494527,0.026407026464809892,0.011073405965350955,0.003837180746561886,0.00038025223398187465,0.0001309757694826457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2087426326129666,0.18836551823278547,0.1674852652259332,0.1455090423656239,0.12247957812015303,0.09889555567355174,0.07413774285090592,0.049789503227617174,0.02669594360337455,0.010001786033220219,0.003837180746561886,0.0005386906648076557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2087426326129666,0.18860510805500982,0.16711689587426326,0.14588685708528537,0.1229965877365319,0.09881590824616365,0.07424688932547478,0.05012629806342969,0.025944759043106436,0.012323629219503482,0.004052062868369352,0.0007921921541289055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2087426326129666,0.1883176002683406,0.16726424361493122,0.14571054354944335,0.12273808292834247,0.09860351510646206,0.07462890198646584,0.04936850968285153,0.027996070726915522,0.012234327558492589,0.0027013752455795677,0.0005070029786424995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2087426326129666,0.18843739517945277,0.16731335952848722,0.14545866706966903,0.12291903629407507,0.09894865395847714,0.07462890198646584,0.04911591355599214,0.026724835317231018,0.01134131094838364,0.0033153241650294694,0.0008555675264592179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
