Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
pct_interview_given_signal,0.0,1.0015090543259557,0.8577297116029511,0.5884194053208138,0.4413145539906103,0.3530516431924883,0.2942097026604069,0.25217974513749164,0.22065727699530516,0.1961398017736046,0.17652582159624414,0.16047801963294922,0.14710485133020346,0.13578909353557242,0.12608987256874582,0.11768388106416275,0.11032863849765258,0.10383871858602596,0.0980699008868023,0.09290832715591796,0.08826291079812207,0.08405991504583053,0.08023900981647461,0.07675035721575832,0.07355242566510173,0.07061032863849766,0.06789454676778621,0.06537993392453487,0.06304493628437291,0.060870972964222114,0.058841940532081374,0.056943813418143266,0.05516431924882629
pct_interview_given_nosignal,0.050435949027498324,0.0224582790862824,0.0014074345060260554,1.0479543930248155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.0224582790862824,0.0014226774790155072,1.0479543930248155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.022433621335858286,0.0013566245960612159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.022433621335858286,0.0014938113529662826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.022453347536197578,0.0013667865780541838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.02243855288594311,0.0011991138751702131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.02247800528662169,0.0011787899111842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.02243855288594311,0.0014836493709733146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.022428689785773465,0.0014480824339979268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050435949027498324,0.022463210636367224,0.0015090543259557343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
pct_interview_given_application,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324,0.050435949027498324
