Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,202.86301369863014,190.7568493150685,172.17808219178082,170.7123287671233
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,203.18835616438355,191.9486301369863,170.7123287671233,169.41780821917808
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,202.42808219178082,190.0958904109589,172.84246575342465,169.8972602739726
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,203.38698630136986,189.22602739726028,173.94520547945206,170.1164383561644
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.3458904109589,202.5068493150685,190.11301369863014,173.57534246575344,169.59931506849315
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.02739726027397,203.7294520547945,191.2294520547945,170.486301369863,170.3458904109589
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,202.92123287671234,191.01712328767124,173.72260273972603,170.44520547945206
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.34931506849315,204.29109589041096,191.21575342465752,171.18835616438355,170.03424657534248
pct_interview_given_signal,0.0,1.0436983746336264,1.0355715427657874,1.0289546140865087,1.0285771382893685,1.0233413269384493,1.0180744293454125,1.0163678580944768,1.0133559818811617,1.0084969061787608,1.004769517719158,0.9913765956931424,0.9548805400124345,0.8954067515218594
pct_interview_given_signal,0.0,1.0335731414868106,1.0342392752464695,1.03055333510969,1.0275779376498801,1.0217958966160405,1.0202060573763212,1.0159872102318146,1.0124233946176393,1.0091482369659828,1.004103383959499,0.9899232129447957,0.9553024247268852,0.8947098731271393
pct_interview_given_signal,0.0,1.038369304556355,1.0341060484945377,1.0290434319211297,1.0240474287236878,1.0223820943245403,1.0183852917665868,1.0160252750180807,1.0121569411137756,1.0091778429108564,1.0045030642152943,0.9932175471743817,0.9540811795008438,0.894668880280391
pct_interview_given_signal,0.0,1.040767386091127,1.035837996269651,1.0293987032596146,1.0243804956035172,1.0207300826005863,1.0188293809396927,1.0157588215142173,1.0124900079936052,1.0096515380288362,1.0045297095656809,0.991207034372502,0.9545252686739497,0.8951198015946218
pct_interview_given_signal,0.0,1.0298427924327205,1.0323741007194245,1.0299316102673417,1.0267785771382894,1.0240873967492672,1.0192734701127986,1.0149594610026265,1.0130229150013323,1.0092666607454777,1.0043165467625899,0.9937504541821088,0.9524380495603517,0.8956117157556006
pct_interview_given_signal,0.0,1.0386357580602186,1.0346389555022648,1.028688160582645,1.0241806554756194,1.0225419664268585,1.0184297006838974,1.0167865707434052,1.0122568611777245,1.009562720194215,1.0041833200106582,0.9912312574183078,0.9520605737632116,0.89516079444137
pct_interview_given_signal,0.0,1.037569944044764,1.0303756994404476,1.0308197886135535,1.0260458300026645,1.0231281641353585,1.0185185185185186,1.0164439876670093,1.0127231548094857,1.008556118068508,1.0038902211564082,0.9918368335634523,0.9526378896882494,0.8947098731271393
pct_interview_given_signal,0.0,1.037569944044764,1.0290434319211297,1.0310862421174172,1.0246469491073809,1.0224353850253132,1.0216271427302603,1.0156826919416848,1.0122901678657075,1.0083192705095183,1.0051958433253396,0.9912554804641136,0.9516164845901057,0.895324765828363
pct_interview_given_signal,0.0,1.0341060484945377,1.0314415134559018,1.0304645172750688,1.026512123634426,1.0230748734345856,1.0170530242472688,1.015378173651555,1.0121569411137756,1.009118631021109,1.003943511857181,0.9928057553956835,0.9535704769517719,0.8947508659738875
pct_interview_given_signal,0.0,1.035171862509992,1.0311750599520384,1.0299316102673417,1.0250466293631761,1.023980815347722,1.0194955146993516,1.0149594610026265,1.0113575806021848,1.0091482369659828,1.0039968025579535,0.9932175471743817,0.9555022648547828,0.894832851667384
pct_interview_given_nosignal,0.7294164668265388,0.7084643396393996,0.6856800274066461,0.660292278997315,0.6296962430055956,0.5958142576847613,0.5562216893152145,0.5062320513959203,0.4454769517719158,0.37059875908796774,0.27049471533884006,0.15310418332001066,0.05302424726885158,0.010125233146815881
