Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
pct_interview_given_nosignal,0.3751875937968984,0.3467820866955217,0.3159534312610851,0.28249839205316946,0.24631065532766383,0.20662963060477607,0.16272024901339557,0.11501338904746491,0.06179652326163081,0.02032683008170752,0.0018402058171943115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.34647758661939665,0.3158511073718678,0.28248648133590604,0.24623561780890446,0.20643216345014612,0.16273414485020288,0.11418944766500898,0.06317221110555278,0.01742537935634484,0.002090330879725577,3.8480778850963945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.34661896165474043,0.31606712447132657,0.28234355272874534,0.24614807403701852,0.20643216345014612,0.1630398532599633,0.11449842568342995,0.06192158579289645,0.017992329498082375,0.0022153934109912098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.3466842116710529,0.3157033061985538,0.2828676242883346,0.24614807403701852,0.20672178194360338,0.162692457339781,0.11470441102904394,0.062296773386693344,0.01805902951475738,0.0019295361966697635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.3468908367227092,0.31591932329801264,0.28248648133590604,0.24626063031515757,0.20632684763434347,0.16255349897170807,0.11492510961363034,0.06181215607803902,0.019109554777388696,0.0022868577145715714,0.00038480778850963945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.34657546164386543,0.31591932329801264,0.2827485171157007,0.2461855927963982,0.20627418972644218,0.16305374909677062,0.1146896977900715,0.061905952976488245,0.018676004669001166,0.0028228399914242835,0.0001346827259783738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.34656458664114664,0.3158511073718678,0.2824507491841159,0.24599799899949976,0.20666912403570206,0.16333166583291645,0.11446899920548509,0.06262506253126564,0.019276304819076204,0.0024119202458372044,1.9240389425481972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.3469234617308654,0.31601027786620584,0.28252221348769624,0.24634817408704351,0.20661646612780074,0.16305374909677062,0.11488096989671306,0.06223424212106053,0.019292979823244957,0.0027335096119488317,9.620194712740986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.34665158666289664,0.31611260175542316,0.2825103027704328,0.2460855427713857,0.20662963060477607,0.16247012395086433,0.11461613159520936,0.06220297648824412,0.01984325496081374,0.0021081969556206673,3.8480778850963945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3751875937968984,0.3469560867390217,0.31582836872981945,0.28252221348769624,0.24548524262131066,0.2067744398515047,0.16313712411761436,0.11499867580849248,0.06199974987493747,0.019776554944138738,0.0017687415136139499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
